"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","BulkDryL","BulkDryW","BulkDryH"
"11","PLPO",1,"PLPO1","","6/3/2019","9:39",7,6.6,6.5,6.7,43.33333333,43.33333333,50,45.55555556,150,10.89,0.9274,42.17,17.66,486.6,488.2,604.9,480.2,424.2,654.6,0.236842105,0.272727273,597,635,668,1,0.254784689,0.004246411,73.33570806,"",8.79166666666667,5.04333333333333,1.965,0.193333333333333,2.16666666666667,8.18833333333333,4.885,1.36166666666667,0.15,0.301333333333333,26.0056947016667,85.54390969,69.0631511121049,51.4034797043604,20.6382280325212,25105.3924717089,64.2419530936718,52.8233435568897,13.8742322577986,20614.7866856347,7.094,4.562,2.064
"12","DIBU",2,"DIBU2","","6/3/2019","10:02",10.2,11.2,10.1,10.5,61.66666667,48.33333333,56.66666667,55.55555556,150,6.19,0.958733333,37.73,22.58,584.5,586.9,750.9,655.1,514.2,731.3,0.209302326,0.36,770,813,838,1,0.284651163,0.004744186,84.70047803,"",16.7714285714286,8.89857142857143,4.25571428571429,0.478571428571429,1.08142857142857,15.36125,6.66875,3.5925,0.41,1.55257142857143,84.93343229,45.9833775166667,147.847888280013,97.3515341880219,45.8098496746614,238835.550174006,143.958718568657,77.8083185335568,40.4473613783534,181717.627947889,13.436,6.102,4.082
"13","MAAC",2,"MAAC2","","6/3/2019","10:28",5.3,5.8,5.2,5.433333333,45,40,46.66666667,43.88888889,150,36.49,0.756733333,35.51,13.34,573.7,497.1,604.1,551.4,423.4,571.3,0.195652174,0.225,952,998,1038,1,0.210326087,0.003505435,49.39819482,"",6.91833333333333,2.415,1.40833333333333,0.211666666666667,0.446666666666667,6.46571428571429,1.94428571428571,1.06571428571429,0.215714285714286,0.125571428571429,11.8182678815,96.08414184,65.3053777528232,23.3755910660059,13.2968684610074,7410.8904941668,65.933505799257,21.793608023486,12.2911792316637,7393.2336272196,7.966,1.956,1.4
"14","LEEL",2,"LEEL2","","6/3/2019","10:46",4.7,5.3,4.6,4.866666667,30,31.66666667,35,32.22222222,150,38.99,0.740066667,22.19,11.13,438.2,375.4,628.5,510.2,333.2,573.3,0.166666667,0.136363636,1180,1234,1300,1,0.151515152,0.002525253,34.80182189,"",6.35,3.00666666666667,1.14333333333333,0.28,0.738333333333333,5.98166666666667,2.64166666666667,1.24666666666667,0.256666666666667,0.216833333333333,12.8358046736667,61.6492765233333,63.8054480720763,30.5539622302366,10.0552613700709,7359.85418568619,59.8582196380268,29.1721605174526,13.67281393085,9791.79852564633,6.942,2.906,1.016
"15","ZEMO",1,"ZEMO1","","6/5/2019","8:47",8.3,8.8,8.9,8.666666667,67.5,65,60,64.16666667,150,5.2,0.965333333,51.06,25.88,589.1,491.7,634,558.7,489.3,698.5,0.257142857,0.409090909,295,330,352,1,0.333116883,0.005551948,99.80424623,"small portion of ash lost to wind",13.0057142857143,4.23857142857143,2.77,0.438571428571429,0.772857142857143,12.8157142857143,3.85142857142857,2.29428571428571,0.345714285714286,0.707714285714286,42.7030584742857,69.5270558271429,114.272503901397,37.0130628446091,26.6437444818551,44098.5047823233,105.670851996962,37.7979686109299,22.1468185377202,37537.8548794461,NA,NA,NA
"16","CABR",1,"CABR1","","6/5/2019","9:11",9.4,10.1,9,9.5,40,50,52.5,47.5,150,2.8,0.981333333,46.62,28.38,564.7,571.1,630.4,672.3,556.8,758.5,0.225,0.310344828,486,526,555,1,0.267672414,0.004461207,81.52583172,"",14.4733333333333,10.115,3.50333333333333,0.376666666666667,0.605,13.2233333333333,8.26166666666667,3.02,0.401666666666667,1.41566666666667,94.2381030283333,67.3408028566667,132.432464448896,89.9762506985409,45.6499688833511,214755.785589368,128.056570502499,86.0143918301894,33.5842382006556,164578.647386196,12.124,7.248,4.248
"17","GOBA",1,"GOBA1","","6/5/2019","9:42",9.1,10,10.8,9.966666667,72.5,62.5,70,68.33333333,150,6.8,0.954666667,77.68,31.17,454.2,518.9,491,614,580.4,714.1,0.321428571,0.409090909,653,681,703,1,0.36525974,0.006087662,108.2252597,"",12.2433333333333,6.00833333333333,3.664,0.742,3.335,11.2833333333333,2.68166666666667,1.98,0.285,0.507333333333333,45.5027285883333,90.4354930233333,115.711274317952,50.0995565719176,35.3973370729674,74970.654302442,108.111910745413,33.6686459151831,24.5176436056683,33086.8602418987,11.868,2.772,1.72
"18","MAAC",3,"MAAC3","","6/5/2019","10:02",6.2,5.5,4.9,5.533333333,37.5,32.5,40,36.66666667,150,35.5,0.763333333,27.74,11.09,483,366.5,584.5,458.3,279.9,571.7,0.2,0.1875,824,869,917,1,0.19375,0.003229167,45.90193681,"",6.91833333333333,2.415,1.40833333333333,0.211666666666667,0.446666666666667,6.46571428571429,1.94428571428571,1.06571428571429,0.215714285714286,0.125571428571429,11.8182678815,96.08414184,65.3053777528232,23.3755910660059,13.2968684610074,7410.8904941668,65.933505799257,21.793608023486,12.2911792316637,7393.2336272196,6.846,1.77,0.898
"19","MAEL",1,"MAEL1","","6/5/2019","10:40",4.1,4.8,4.3,4.4,27.5,27.5,32.5,29.16666667,150,22.6,0.849333333,28.85,11.51,457.5,531.1,409.5,484.8,369.1,570.9,0.14516129,0.111111111,1067,1129,1210,1,0.128136201,0.002135603,33.77731187,"",8.34166666666667,2.38666666666667,1.835,0.218,0.243333333333333,8.185,1.07,0.981666666666667,0.173333333333333,0.199,15.9490003575,87.100196275,76.4001540986458,22.9848398227003,18.6988788904242,12434.2637628379,77.854092972213,15.1900318644907,12.2520124688545,5963.29917888526,7.492,1.15,0.992
"20","TEGL",1,"TEGL1","","6/5/2019","11:08",9.9,9,8.9,9.266666667,37.5,35,37.5,36.66666667,150,7.4,0.950666667,35.51,19.59,494.2,488.6,483.9,632.5,420.5,659.9,0.204545455,0.169811321,1331,1375,1428,1,0.187178388,0.00311964,55.22796492,"substituted 5.3g cuve",11.195,4.92,1.655,0.253333333333333,0.88,9.32,3.44833333333333,2.28166666666667,0.226666666666667,0.437666666666667,36.5294968333333,86.89901689,106.573153804357,46.2695725292311,18.1051144273358,31321.0481159929,86.6234871739652,41.1156041747174,26.1011557924332,33674.1228794022,NA,NA,NA
