"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","Comments","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","Ind","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","IndCode"
"1","AESE1-1","AESE",24.4,10.9,1.63,0.34,0.58,22.5,3.34,4.02,0.38,1.597,169.7610225,106.2999515,"",226.776447434397,98.963417595303,36.9098737003071,361457.788881254,213.424410304644,49.4703185562195,38.3059038610592,135.99829166547,"AESE1",5.771874765,62623.983297956,85.1586046746838,276.710466675,433.5148,13.0292372186556,0.308536864632725,0.0394692456858903,0.546722404290531,6.14860337957411e-05,8.66890996607993,0.463726121938008,0.0593216640725371,0.43679504228317,6.14860337957411e-05,22.5,0.178666666666667,0.0228557406614606,0.291941635174387,"AESE1"
"2","AESE1-2","AESE",20.7,9.8,2.15,0.35,0.72,18.9,3.57,2.75,0.22,1.247,134.2143552,107.6297957,"",197.6126117148,91.0264313588636,36.8639848415173,204399.093519961,177.532041678646,37.0719830553686,28.1436950329715,81.4268042273855,"AESE1",4.697502432,43512.2911544585,65.2981589634206,288.56086368,436.149,11.5850919374859,0.237374033355905,0.0374130383225395,0.508463954167926,5.2368355528082e-05,8.21419503055534,0.334786304655598,0.0527663985350978,0.413581824323829,5.2368355528082e-05,18.9,0.145502645502646,0.0229329888162594,0.284570128305943,"AESE1"
"3","AESE2-1","AESE",20.9,7.7,1.62,0.21,0.76,18.9,1.48,2.57,0.12,0.692,85.4753846,123.5193419,"",190.553867315716,73.7214803206862,25.6084107697069,121457.537911416,168.280460131541,42.4597731628565,27.1204082874094,68.3289632839342,"AESE2",1.7949830766,67665.0044754054,98.7412764218702,138.470123052,260.7066,9.24528986024776,0.277979386135886,0.0442195595053193,0.535658037612258,8.64655754327442e-05,5.28885620904936,0.485927372274305,0.0772988769139999,0.390381880794511,8.64655754327442e-05,18.9,0.135978835978836,0.0216308277840821,0.236952814530948,"AESE2"
"4","AESE2-2","AESE",24.1,8.14,3.42,0.27,1.18,20.9,2.73,2.93,0.2,1.053,105.4557031,100.1478662,"",214.878594063113,73.3840869708486,38.6834031621794,228223.974100216,189.113558625178,39.6825254418966,30.4026469567078,75.9499179438937,"AESE2",2.8473039837,80154.4111224979,72.1271775345619,360.658504602,670.91508,10.2691627263375,0.285320242563239,0.0412389311526651,0.595093744924724,7.01329652787874e-05,7.55360840923065,0.387894082041569,0.0560645021192039,0.436314551590488,7.01329652787874e-05,20.9,0.140191387559809,0.0202626456778444,0.253573215936,"AESE2"
"5","AESE3-1","AESE",24.5,10.8,1.48,0.39,1.02,17.5,6.52,3.73,0.24,1.624,165.5289163,101.9266726,"",217.040591756349,101.927117142757,33.1061895444488,302248.996753676,169.40506902012,47.7296652393261,55.9944030456314,162.595228473109,"AESE3",6.4556277357,46819.458792864,100.120214577038,244.982796124,391.608,12.8658041450972,0.289915807666123,0.0424227674502044,0.521616539283122,7.63478811806236e-05,10.6817601545813,0.34919338629788,0.0510967302587529,0.412565938214981,7.63478811806236e-05,17.5,0.213142857142857,0.0311887438461334,0.273919029928981,"AESE3"
"6","AESE3-2","AESE",23.6,10.4,2.91,0.36,0.82,20.8,4.8,3.55,0.22,1.477,163.9094213,110.9745574,"",213.734201922446,96.7307397220906,39.5330049177956,264479.140322406,190.020602057716,59.0671735364078,46.5911225742243,176.43061612761,"AESE3",5.9007391668,44821.3576038872,119.452008210975,476.976415983,714.2304,12.8027114823384,0.277285011452245,0.0438082621306917,0.501374047246366,8.40752321763092e-05,9.99199679743744,0.355284341255037,0.0561313771383252,0.409723748217086,8.40752321763092e-05,20.8,0.170673076923077,0.0269646413750913,0.271989291170658,"AESE3"
"7","AEVE1-1","AEVE",16.9,6.7,4.07,0.33,0.67,15.9,3.2,2.8,0.27,0.734,71.03677549,96.78034808,"",163.170995469051,55.7780298354929,41.8939564414174,146960.994413671,149.285811555357,35.8070773798209,32.1708784108454,60.6899411452216,"AEVE1",2.34421359117,62690.9574141333,82.6838435221003,289.1196762443,460.8461,8.42833171452097,0.332212838179583,0.0466262640639536,0.626122159062227,0.000101365894424462,7.1330218000508,0.392540507864431,0.0550932874111012,0.495929497243359,0.000101365894424462,15.9,0.176100628930818,0.0247158251660283,0.312258298839557,"AEVE1"
"8","AEVE1-2","AEVE",10.51,5.03,2.37,0.3,0.53,9.22,3.22,1.67,0.23,0.302,29.93879317,99.13507672,"",100.243564222999,48.9267502986917,29.922076870327,48407.6139899749,84.4376511959825,33.3258847678151,22.4657460335395,19.9338274810887,"AEVE1",0.8981637951,53896.1982815009,66.0060512618831,70.9549398129,125.290761,5.4716353286746,0.305210398662391,0.0495541183177985,0.666071340340257,0.000121685620308719,5.4487062684641,0.306494774670748,0.0497626502713676,0.501247871826646,0.000121685620308719,9.22,0.181127982646421,0.0294080330226668,0.346764935987002,"AEVE1"
"9","AEVE2-1","AEVE",13.5,6.6,3.87,0.41,0.48,12.78,3.8,2.62,0.29,0.696,55.12361735,79.20059964,"",115.615227458276,61.4155819866005,43.7919664558463,98868.7905518251,129.736263449297,46.0137774860294,27.2233561783315,56.3796460946649,"AEVE2",2.26006831135,43745.9301806537,81.0052386417599,213.3283991445,344.817,7.4245280893805,0.35288438112955,0.0516462262917228,0.622803272436522,0.000137757667712131,6.96878755595261,0.375962099427474,0.0550237548116762,0.489870050457774,0.000137757667712131,12.78,0.205007824726135,0.0300038229900937,0.342520028915782,"AEVE2"
"10","AEVE2-2","AEVE",14.5,7.7,3.12,0.43,0.52,13.53,4.94,3.47,0.35,0.865,67.50524133,78.04074143,"",124.649709108571,70.1413915248162,30.9900995862914,110824.412123217,129.270381802223,55.3614076270602,39.9092373409821,77.0644624029094,"AEVE2",2.90272537719,38179.4340567282,89.0918640496062,210.6163529496,348.348,8.21615733357146,0.42233855306318,0.0517943798245553,0.584623674574614,0.000138946596069664,8.17546328962463,0.424440778102903,0.0520521906291679,0.454585712347858,0.000138946596069664,13.53,0.256467110125647,0.0314523853387513,0.331266213188669,"AEVE2"
