"","Species","sample","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","litter_spec_vol","litter_bulk_density","log_litter_spec_vol","Carbon","Nitrogen","Al.Conc.","All_ash","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","packing_ratio","FG","n_success","prop_success","accumulator"
"1","AESE",2,16.5666666666667,17.3333333333333,16.1333333333333,16.67777778,85.8333333333333,101.666666666667,108.333333333333,98.6111111233333,150,9.03333333333333,0.939777777666667,64.36,30.2466666666667,594.366666666667,673.166666666667,710.133333333333,693.866666666667,555.733333333333,732.566666666667,NA,NA,NA,NA,NA,1,NA,0.0102762146666667,180.378253933333,166.7777778,0.00612672888626262,5.10597379400258,NA,NA,NA,NA,23.0333333333333,9.62333333333333,2.20166666666667,0.32,0.846666666666667,19.9166666666667,3.74,3.25833333333333,0.23,1.28166666666667,137.3908005,108.416364216667,210.099385701137,89.2922121850915,35.1174778226592,247044.421914821,184.629356969641,45.9135731653459,37.7596966263339,116.788303620234,4.5780051933,57599.4177411782,90.1495733970915,297.726528352667,484.520646666667,11.6328828950271,0.279401890967687,0.0414286340412184,0.534821454587488,7.18126738987146e-05,8.39988776115566,0.396135268077066,0.0587799248396528,0.416560497570677,7.18126738987146e-05,19.9166666666667,0.164025911628982,0.0243059313601452,0.26882435250782,0.0218841586418086,"F",3,1,NA
"2","AEVE",2,10.3666666666667,10.1666666666667,10.5,10.3444444456667,65.8333333333333,62.5,73.3333333333333,67.2222222233333,150,8.26666666666667,0.944888889,59.92,28.0866666666667,515.6,495.366666666667,641.266666666667,612.6,501.966666666667,694.766666666667,0.327016163333333,0.439666666666667,157.333333333333,269.333333333333,354.333333333333,1,0.383341415333333,0.00638902366666667,112.4694193,103.444444456667,0.00971132959154221,4.63675703070838,49.2666666666667,2.13,285.333333333333,561.292333333333,14.4183333333333,6.905,3.21333333333333,0.401666666666667,0.558333333333333,13.1866666666667,3.62166666666667,2.68833333333333,0.276666666666667,0.764,61.2031392416667,83.34837588,130.057005348116,61.9539739294324,35.470134881317,107143.959789306,126.032202538204,41.3916580452355,30.7409914589689,56.1076842624878,2.52752327227167,45168.5181834706,74.2473515307938,200.953825209967,328.436576833333,7.74788605830512,0.344833451446198,0.0487540888834732,0.608783191690587,0.000116769669309852,6.86894054178446,0.387781175254316,0.054792411586869,0.471990369639495,0.000116769669309852,13.1866666666667,0.203674780591702,0.0287508475548216,0.3265775105438,0.0321277638053972,"S",3,1,FALSE
"3","ALED",2,9.13333333333333,8.66666666666667,8.63333333333333,8.81111111233333,54.1666666666667,59.1666666666667,65.8333333333333,59.7222222233333,150,8.3,0.944666666666667,51.0466666666667,24.9566666666667,456.366666666667,495.9,563.733333333333,605.333333333333,516.733333333333,692.033333333333,0.380333333333333,0.278666666666667,148.333333333333,243.666666666667,396.666666666667,1,0.3295,0.00549166633333333,96.64611089,88.1111111233333,0.0115582536864542,4.46931174175309,50.07,1.49333333333333,128.666666666667,483.332666666667,14.46,6.185,3.14166666666667,0.236666666666667,1.18666666666667,12.9816666666667,5.90666666666667,2.87666666666667,0.178333333333333,0.864,63.29438954,81.2265630483333,129.141613247778,60.4821163835421,28.5930942248493,78092.2535466731,122.69313912421,60.5586927943809,29.6993041833486,72.0483865609842,1.559212807485,48617.0318984033,91.1410033360548,213.959609834583,296.455173,7.89158530107257,0.364381054702006,0.0517034685261898,0.51915532976908,0.000141700150862436,8.71023790143986,0.336164241387382,0.0470494314621897,0.434824372512125,0.000141700150862436,12.9816666666667,0.235031364470192,0.0319451355388505,0.28363120143612,0.0208585384028705,"F",3,1,FALSE
"4","AMIN",2,10.7,10.8,11.4333333333333,10.9777777776667,66.6666666666667,60,65,63.88888889,150,4.96666666666667,0.966888889,59.5466666666667,26.2066666666667,457.9,477.666666666667,579.7,706.6,528.066666666667,740.866666666667,NA,NA,NA,NA,NA,1,NA,0.00555833333333333,100.149943633333,109.777777776667,0.00921447140281844,4.69281766759204,48.8333333333333,1.69,84.6666666666667,340.881666666667,12.845,4.3,2.01333333333333,0.21,1.16,11.0966666666667,2.39666666666667,1.85166666666667,0.143333333333333,0.364333333333333,38.62592036,108.010956916667,110.356528221519,39.2838151217781,19.6028024930206,29422.6135310175,100.707961570737,31.2405424617948,21.6678386592825,27.6134023979651,0.789095972611667,36799.6448252319,76.6241702847569,80.1910939813333,115.8689985,6.17024134958676,0.301734822641517,0.049881257107437,0.491611063390187,0.000124689284733964,5.13447837426669,0.373583568167972,0.063013174246885,0.4082636001138,0.000124689284733964,11.0966666666667,0.168409320796051,0.027789798103276,0.23550751911855,0.0199572797997513,"F",3,1,FALSE
"5","ANCA",2,12.7333333333333,12.3666666666667,11.8666666666667,12.3222222233333,63.3333333333333,70,71.6666666666667,68.3333333333333,150,14.1333333333333,0.905777777666667,62.5166666666667,27.8666666666667,531.9,544.666666666667,635.4,622.866666666667,580.333333333333,703.2,0.439333333333333,0.361333333333333,161.666666666667,254.666666666667,354.666666666667,1,0.400333333333333,0.00667222233333333,112.799592376667,123.222222233333,0.00819235266864934,4.80925311881102,43.89,2.76,161,473.397,14.6725,4.22625,1.94375,0.1875,1.80375,12.1475,3.73375,1.72625,0.2,0.404875,42.80747710875,106.8297821275,133.178499680557,44.9689953060076,14.4180430343935,35331.8377156788,122.041809333563,39.1235113697751,19.5418068090996,33.1860593320487,0.79149463564375,43018.4840418702,82.368454228614,87.9860724139375,128.121681375,6.51119490763357,0.26732747307406,0.0490855270528938,0.491399279682975,0.000119778382794695,6.61590296857965,0.269129083046366,0.0490756420416459,0.409011127694257,0.000119778382794695,12.1475,0.164112557125414,0.0294497466084626,0.216917520259777,0.0160153212486266,"F",3,1,FALSE
"6","ANCR",2,5.96666666666667,6.83333333333333,6.43333333333333,6.411111111,33.3333333333333,31.6666666666667,35,33.3333333333333,150,7.7,0.948666666666667,32.5533333333333,14.8666666666667,490.266666666667,535.8,529.5,508.933333333333,401.033333333333,623.8,0.187333333333333,0.136666666666667,293,487,752,1,0.162,0.0027,47.7028393866667,64.11111111,0.0158364440191251,4.15286784507312,49.1,1.43666666666667,103,411.289,9.91333333333333,4.70666666666667,2.06833333333333,0.266666666666667,0.658333333333333,9.475,4.53833333333333,1.48833333333333,0.233333333333333,0.6405,41.8040979916667,66.7651762216667,92.810704559954,46.6677852046788,24.9006173853087,43266.9585826242,87.2615215294462,45.4169869105212,16.2049316363212,26.887704747662,1.09464757173167,37568.9898049727,43.3274864436639,86.23333720895,95.7358073333333,6.39717345950617,0.236808295590413,0.0472125347163204,0.527338283554759,0.000105443247851236,6.47282770657326,0.253245037512235,0.0485239682204882,0.506560815169467,0.000105443247851236,9.475,0.157874110152459,0.0310430238587534,0.340299748316397,0.0270653005314594,"S",3,1,FALSE
"7","ASTO",2,9.4,9,8.6,9,72.5,70,76.6666666666667,73.0555555566667,150,9.5,0.936666666666667,55.4833333333333,28.4933333333333,562.266666666667,588.666666666667,635.3,584.466666666667,545,708.166666666667,0.256897436,0.397609125666667,131.333333333333,272.333333333333,369,1,0.327253280666667,0.00545422133333333,95.1701999533333,90,0.0111709754663746,4.49716546542141,NA,NA,NA,NA,15.62,6.77,2.375,0.403333333333333,0,14.3116666666667,5.66333333333333,2.405,0.323333333333333,1.10416666666667,68.2267930533333,64.4571149266667,148.49090457424,65.4266864218102,29.9869707092448,114080.650474993,134.960123627639,63.5606576271896,29.6267914739878,96.9165312869441,2.82529378775667,40092.6435989641,82.8344393579868,169.24504680815,271.841881,8.14521437203068,0.291000193090227,0.0542925123830894,0.57975668013131,0.00016315921345006,8.98997587527025,0.263532460493564,0.0491231368648636,0.458341420928476,0.00016315921345006,14.3116666666667,0.165067968220088,0.0307478524305495,0.299999989380857,0.028583807627167,"S",3,1,NA
"8","BADR",2,1.73333333333333,1.66666666666667,1.66666666666667,1.68888888866667,0,0,0,0,150,144.7,0.0353333333333333,0,0.0983333333333333,31.0666666666667,24.3766666666667,22.71,24.94,24.3766666666667,46.3166666666667,0,0,0,0,0,1,0,0,0,16.8888888866667,0.060030442842487,2.81988607856011,49.1166666666667,2.25666666666667,272.333333333333,710.624333333333,2.90166666666667,0.62,0.276666666666667,0.201666666666667,0.0983333333333333,2.77166666666667,0.488333333333333,0.208333333333333,0.201666666666667,0.0105,1.40439384566667,135.223212435,24.8242072878491,6.12426036355102,2.92779159125136,193.993508256069,22.6314125395326,5.52467880568633,3.19634229355044,0.171010871215701,0.0288686997253333,7658.172603622,17.8893361059145,0.388494085543333,0.5114935,1.17900861992037,0.177431460784993,0.0468646261370113,0.492116412375493,0.000116195175651963,1.15967690707773,0.179026544080652,0.0476055999710172,0.435981261047306,0.000116195175651963,2.77166666666667,0.0756849242469697,0.0201809469169489,0.200789007330223,0.165047697980814,"G",0,0,FALSE
"9","BALO",2,10.6,10.4333333333333,9.73333333333333,10.2555555566667,54.1666666666667,54.1666666666667,59.1666666666667,55.8333333333333,150,12.6333333333333,0.915777777666667,39.95,20.8666666666667,492.9,488.7,572,514.533333333333,476.966666666667,638.333333333333,0.349333333333333,0.305666666666667,181.333333333333,289.333333333333,417.666666666667,1,0.3275,0.00545833333333333,93.2967717766667,102.555555566667,0.00994332990170189,4.62069678160622,48.53,1.72333333333333,123.666666666667,455.412666666667,9.06,7.02,1.34666666666667,0.19,2.05833333333333,6.74333333333333,6.21,2.84833333333333,0.156666666666667,0.291833333333333,43.9675106316667,156.821708433333,75.7188994993533,72.4004136464676,14.0941994679838,33495.5905070276,67.8955042202078,56.8818353129047,27.2912514653796,40.8202287914337,0.856045790901667,36115.4689901403,142.44650901334,65.0995032534,90.7085345,6.53793475307109,0.430345576812414,0.0518423079415289,0.467185193150009,0.000140067877540146,6.39857677341074,0.45483908101231,0.0531427174851251,0.383436774739987,0.000140067877540146,6.74333333333333,0.472122728092884,0.0526830640539868,0.33794896352598,0.0291671469214115,"F",3,1,FALSE
"10","BARU",2,8.76666666666667,9.73333333333333,10.1666666666667,9.55555555566667,51.6666666666667,48.3333333333333,58.3333333333333,52.7777777766667,150,9.3,0.937999999666667,45.4933333333333,22.15,511.9,532.666666666667,604.733333333333,619.466666666667,493.5,699.9,0.286,0.285,173.333333333333,312.666666666667,455,1,0.2855,0.00475833333333333,83.12922872,95.5555555566667,0.0106481372647094,4.55130295159568,50.1533333333333,1.65,111.666666666667,399.262666666667,10.5883333333333,9.61666666666667,2.75666666666667,0.31,1.37666666666667,10.4,9.28333333333333,2.41,0.251666666666667,1.09,78.5489707383333,77.6469499216667,111.033580580525,91.7646277657585,24.6066345752889,100807.775951174,106.697122657547,92.9258615198313,24.7421494597732,99.2788373715264,2.47464236250333,44449.4165608207,97.2645310219163,215.373802822133,286.702177333333,8.82099920027119,0.275119981273975,0.0518781499355326,0.528933865048211,0.000144522596204692,9.7971250622926,0.250564692784583,0.0468690930576049,0.463790936733126,0.000144522596204692,10.4,0.236815581380803,0.0442669048344666,0.442412382673567,0.0241746161073397,"S",3,1,FALSE
