"","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh"
"1","AESE",23.0333333333333,9.62333333333333,2.20166666666667,0.32,0.846666666666667,19.9166666666667,3.74,3.25833333333333,0.23,1.28166666666667,137.3908005,108.416364216667,210.099385701137,89.2922121850915,35.1174778226592,247044.421914821,184.629356969641,45.9135731653459,37.7596966263339,116.788303620234,4.5780051933,57599.4177411782,90.1495733970915,297.726528352667,484.520646666667,11.6328828950271,0.279401890967687,0.0414286340412184,0.534821454587488,7.18126738987146e-05,8.39988776115566,0.396135268077066,0.0587799248396528,0.416560497570677,7.18126738987146e-05,19.9166666666667,0.164025911628982,0.0243059313601452,0.26882435250782
"2","AEVE",14.4183333333333,6.905,3.21333333333333,0.401666666666667,0.558333333333333,13.1866666666667,3.62166666666667,2.68833333333333,0.276666666666667,0.764,61.2031392416667,83.34837588,130.057005348116,61.9539739294324,35.470134881317,107143.959789306,126.032202538204,41.3916580452355,30.7409914589689,56.1076842624878,2.52752327227167,45168.5181834706,74.2473515307938,200.953825209967,328.436576833333,7.74788605830512,0.344833451446198,0.0487540888834732,0.608783191690587,0.000116769669309852,6.86894054178446,0.387781175254316,0.054792411586869,0.471990369639495,0.000116769669309852,13.1866666666667,0.203674780591702,0.0287508475548216,0.3265775105438
"3","ALED",14.46,6.185,3.14166666666667,0.236666666666667,1.18666666666667,12.9816666666667,5.90666666666667,2.87666666666667,0.178333333333333,0.864,63.29438954,81.2265630483333,129.141613247778,60.4821163835421,28.5930942248493,78092.2535466731,122.69313912421,60.5586927943809,29.6993041833486,72.0483865609842,1.559212807485,48617.0318984033,91.1410033360548,213.959609834583,296.455173,7.89158530107257,0.364381054702006,0.0517034685261898,0.51915532976908,0.000141700150862436,8.71023790143986,0.336164241387382,0.0470494314621897,0.434824372512125,0.000141700150862436,12.9816666666667,0.235031364470192,0.0319451355388505,0.28363120143612
"4","AMIN",12.845,4.3,2.01333333333333,0.21,1.16,11.0966666666667,2.39666666666667,1.85166666666667,0.143333333333333,0.364333333333333,38.62592036,108.010956916667,110.356528221519,39.2838151217781,19.6028024930206,29422.6135310175,100.707961570737,31.2405424617948,21.6678386592825,27.6134023979651,0.789095972611667,36799.6448252319,76.6241702847569,80.1910939813333,115.8689985,6.17024134958676,0.301734822641517,0.049881257107437,0.491611063390187,0.000124689284733964,5.13447837426669,0.373583568167972,0.063013174246885,0.4082636001138,0.000124689284733964,11.0966666666667,0.168409320796051,0.027789798103276,0.23550751911855
"5","ANCA",14.6725,4.22625,1.94375,0.1875,1.80375,12.1475,3.73375,1.72625,0.2,0.404875,42.80747710875,106.8297821275,133.178499680557,44.9689953060076,14.4180430343935,35331.8377156788,122.041809333563,39.1235113697751,19.5418068090996,33.1860593320487,0.79149463564375,43018.4840418702,82.368454228614,87.9860724139375,128.121681375,6.51119490763357,0.26732747307406,0.0490855270528938,0.491399279682975,0.000119778382794695,6.61590296857965,0.269129083046366,0.0490756420416459,0.409011127694257,0.000119778382794695,12.1475,0.164112557125414,0.0294497466084626,0.216917520259777
"6","ANCR",9.91333333333333,4.70666666666667,2.06833333333333,0.266666666666667,0.658333333333333,9.475,4.53833333333333,1.48833333333333,0.233333333333333,0.6405,41.8040979916667,66.7651762216667,92.810704559954,46.6677852046788,24.9006173853087,43266.9585826242,87.2615215294462,45.4169869105212,16.2049316363212,26.887704747662,1.09464757173167,37568.9898049727,43.3274864436639,86.23333720895,95.7358073333333,6.39717345950617,0.236808295590413,0.0472125347163204,0.527338283554759,0.000105443247851236,6.47282770657326,0.253245037512235,0.0485239682204882,0.506560815169467,0.000105443247851236,9.475,0.157874110152459,0.0310430238587534,0.340299748316397
"7","ANFA",0.546666666666667,0.151666666666667,0.11,0.0766666666666667,0,0.471,0.1336,0.0228,0.0572,0.001,0.064050051,36.8458044433333,3.8314834786597,1.29867278195647,0.62415749236823,3.06343513009397,2.13380920521269,1.03759237198541,0.538790889554158,0.000991245606981841,0.0005739773445,7025.43579552885,Inf,0.00976808079833333,0.013523,0.248475196799396,0.100224964049945,0.0288611302632013,0.427992449102886,8.6202550245708e-05,0.250164965950639,0.092370319938655,0.0260498487733293,0.354928326612821,8.6202550245708e-05,0.471,0.0487938277065212,0.0138872840824821,0.183733313959844
"8","ASTO",15.62,6.77,2.375,0.403333333333333,0,14.3116666666667,5.66333333333333,2.405,0.323333333333333,1.10416666666667,68.2267930533333,64.4571149266667,148.49090457424,65.4266864218102,29.9869707092448,114080.650474993,134.960123627639,63.5606576271896,29.6267914739878,96.9165312869441,2.82529378775667,40092.6435989641,82.8344393579868,169.24504680815,271.841881,8.14521437203068,0.291000193090227,0.0542925123830894,0.57975668013131,0.00016315921345006,8.98997587527025,0.263532460493564,0.0491231368648636,0.458341420928476,0.00016315921345006,14.3116666666667,0.165067968220088,0.0307478524305495,0.299999989380857
"9","BADR",2.90166666666667,0.62,0.276666666666667,0.201666666666667,0.0983333333333333,2.77166666666667,0.488333333333333,0.208333333333333,0.201666666666667,0.0105,1.40439384566667,135.223212435,24.8242072878491,6.12426036355102,2.92779159125136,193.993508256069,22.6314125395326,5.52467880568633,3.19634229355044,0.171010871215701,0.0288686997253333,7658.172603622,17.8893361059145,0.388494085543333,0.5114935,1.17900861992037,0.177431460784993,0.0468646261370113,0.492116412375493,0.000116195175651963,1.15967690707773,0.179026544080652,0.0476055999710172,0.435981261047306,0.000116195175651963,2.77166666666667,0.0756849242469697,0.0201809469169489,0.200789007330223
"10","BALO",9.06,7.02,1.34666666666667,0.19,2.05833333333333,6.74333333333333,6.21,2.84833333333333,0.156666666666667,0.291833333333333,43.9675106316667,156.821708433333,75.7188994993533,72.4004136464676,14.0941994679838,33495.5905070276,67.8955042202078,56.8818353129047,27.2912514653796,40.8202287914337,0.856045790901667,36115.4689901403,142.44650901334,65.0995032534,90.7085345,6.53793475307109,0.430345576812414,0.0518423079415289,0.467185193150009,0.000140067877540146,6.39857677341074,0.45483908101231,0.0531427174851251,0.383436774739987,0.000140067877540146,6.74333333333333,0.472122728092884,0.0526830640539868,0.33794896352598
