"","filename","Species","IndCode","IndLeafCode","Dry","length","width","height","hull_volume"
"49","anca1-1dry.xyz","ANCA","ANCA1","ANCA1-1","Yes",126.242946477246,37.3169309611971,14.6700822592695,26399.4056999284
"50","anca1-2.xyz","ANCA","ANCA1","ANCA1-2","No",125.123802428339,46.4649014612221,10.0197508262695,22243.6772084183
"51","anca1-2dry.xyz","ANCA","ANCA1","ANCA1-2","Yes",125.870675823553,42.2465364140477,22.3434138788376,40563.976098032
"52","anca2-1.xyz","ANCA","ANCA2","ANCA2-1","No",172.320983790601,44.9624273788716,19.0995527746906,59310.011783758
"53","anca2-1dry.xyz","ANCA","ANCA2","ANCA2-1","Yes",165.696906616292,38.169393641009,21.6293544937274,54110.422462351
"54","anca2-2.xyz","ANCA","ANCA2","ANCA2-2","No",124.288941512172,34.4346919313945,13.3377483267812,23748.2774160852
"55","anca2-2dry.xyz","ANCA","ANCA2","ANCA2-2","Yes",108.20073857136,32.8217332658935,21.9929305153761,24405.7585184647
"56","anca3-1.xyz","ANCA","ANCA3","ANCA3-1","No",135.118918555821,49.0418572883496,11.1024029790953,28854.5356790884
"57","anca3-1dry.xyz","ANCA","ANCA3","ANCA3-1","Yes",107.334826903737,39.7751845022914,22.7689757352281,32988.6695182569
"58","anca3-2.xyz","ANCA","ANCA3","ANCA3-2","No",112.544749482295,43.1966225325439,15.6302301610205,28105.3417382196
"59","anca3-2dry.xyz","ANCA","ANCA3","ANCA3-2","Yes",113.687672745979,37.1861919368974,17.1693798056391,22976.4442935618
"60","anca3-3dry.xyz","ANCA","ANCA3","ANCA3-3","Yes",105.586689194244,42.8227771309293,17.3206792052269,28783.2731600232
"61","anca3-4.xyz","ANCA","ANCA3","ANCA3-4","No",128.076965143757,46.4870109781066,13.7358591422904,31074.543678056
"62","anca3-4dry.xyz","ANCA","ANCA3","ANCA3-4","Yes",123.714018336094,42.649343105935,18.4396385794918,35260.5249057719
"63","ancr1-1.xyz","ANCR","ANCR1","ANCR1-1","No",98.5305041527606,48.8725055087028,25.7590256005263,39933.5924629091
"64","ancr1-1dry.xyz","ANCR","ANCR1","ANCR1-1","Yes",94.3346176431314,50.7169754263607,15.8243282697004,30630.1026440358
"65","ancr1-2.xyz","ANCR","ANCR1","ANCR1-2","No",96.3331809507236,39.7726662915346,25.4749994550678,40371.3803620924
"66","ancr1-2dry.xyz","ANCR","ANCR1","ANCR1-2","Yes",90.8291396438918,41.9925312068181,20.9670061678376,32349.6872327605
"67","ancr2-1.xyz","ANCR","ANCR2","ANCR2-1","No",82.0107818066021,39.1782896994545,14.5963608096613,15913.700907056
"68","ancr2-1dry.xyz","ANCR","ANCR2","ANCR2-1","Yes",77.812863002044,39.5785634657896,10.6573441444154,14291.2384552919
"69","ancr2-2.xyz","ANCR","ANCR2","ANCR2-2","No",79.623040631216,25.2200199508858,25.1850826575775,19307.9544628164
"70","ancr2-2dry.xyz","ANCR","ANCR2","ANCR2-2","Yes",78.3586561739771,26.121927810474,17.146164969283,13273.9324988604
"71","ancr3-1.xyz","ANCR","ANCR3","ANCR3-1","No",100.097056416304,62.3407238649433,31.8497221555481,73791.6086491402
"72","ancr3-1dry.xyz","ANCR","ANCR3","ANCR3-1","Yes",94.9723311841869,68.6749366431635,16.4298146303695,43893.5629073615
"73","ancr3-2.xyz","ANCR","ANCR3","ANCR3-2","No",100.269663402118,64.6225059125519,26.5385136334711,70283.5146517311
"74","anfa1-1.xyz","ANFA","ANFA1","ANFA1-1","No",6.82004033185263,1.9075153734691,1.02879559442776,7.23623370795058
"75","anfa1-1dry.xyz","ANFA","ANFA1","ANFA1-1","Yes",4.27394295727149,1.77892855843011,1.3085827000502,3.87933296135735
"76","anfa1-2.xyz","ANFA","ANFA1","ANFA1-2","No",6.6985492688669,2.08387965603972,1.30033873617332,9.16534249477489
"77","anfa2-1.xyz","ANFA","ANFA2","ANFA2-1","No",2.98772473974249,1.11002559874875,0.437568328863197,0.718726519935501
"78","anfa2-1dry.xyz","ANFA","ANFA2","ANFA2-1","Yes",1.459894517229,0.382911154492178,5.54571863139314e-05,6.97764846485949e-06
"79","anfa2-2.xyz","ANFA","ANFA2","ANFA2-2","No",1.99818928608816,0.741454237933696,0.262977366835598,0.107758710635564
"80","anfa2-2dry.xyz","ANFA","ANFA2","ANFA2-2","Yes",2.32652021645415,1.50748303003164,0.995343862060192,0.945400585938812
"81","anfa3-1.xyz","ANFA","ANFA3","ANFA3-1","No",3.0864481335558,1.60598150899045,0.715226010760843,1.15254577532029
"82","anfa3-1dry.xyz","ANFA","ANFA3","ANFA3-1","Yes",1.63059686321137,0.806072490952821,0.324527257489905,0.123141537873952
"83","anfa3-2.xyz","ANFA","ANFA3","ANFA3-2","No",1.39794911185223,0.343180316557133,3.89171486642678e-05,3.57194697996516e-06
"84","anfa3-2dry.xyz","ANFA","ANFA3","ANFA3-2","Yes",0.978091471897461,0.712566626020295,0.0654451709841788,0.00834597209062863
"85","asto1-1.xyz","ASTO","ASTO1","ASTO1-1","No",147.656460703882,53.4591486557836,36.2710693056612,108313.130370855
"86","asto1-1dry.xyz","ASTO","ASTO1","ASTO1-1","Yes",135.788101534895,59.6465547758612,20.9975282004317,73592.1308521519
"87","asto1-2.xyz","ASTO","ASTO1","ASTO1-2","No",153.0919127476,64.3541712955731,43.8654967952242,169651.731297679
"88","asto1-2dry.xyz","ASTO","ASTO1","ASTO1-2","Yes",149.126214791335,73.2215522536358,35.9130911238324,131504.779575497
"89","asto2-1.xyz","ASTO","ASTO2","ASTO2-1","No",159.866076347026,76.3646839444274,14.3292337321134,73120.626662019
"90","asto2-1dry.xyz","ASTO","ASTO2","ASTO2-1","Yes",133.837535245542,60.7460668257115,37.7630210796894,111461.949822418
"91","asto2-2.xyz","ASTO","ASTO2","ASTO2-2","No",134.832664143582,50.9103868896495,19.938535155435,54960.1505755961
"92","asto2-2dry.xyz","ASTO","ASTO2","ASTO2-2","Yes",119.684006773744,46.2941264279881,24.1830533497094,42474.8973297167
"93","asto3-1.xyz","ASTO","ASTO3","ASTO3-1","No",171.378546815864,88.4005289105154,39.8216834992351,220709.507883087
"94","asto3-1dry.xyz","ASTO","ASTO3","ASTO3-1","Yes",164.858330424366,90.0082957473966,39.677648219217,186144.642307117
"95","asto3-2.xyz","ASTO","ASTO3","ASTO3-2","No",124.119766687487,59.0711988349125,25.6958057678,57728.7560607209
"96","asto3-2dry.xyz","ASTO","ASTO3","ASTO3-2","Yes",106.466552995953,51.4473497325443,19.2264068710469,36320.7878347642
"97","badr1-1.xyz","BADR","BADR1","BADR1-1","No",20.7817374743934,6.86192849245651,3.11481284264919,187.110343576921
"98","badr1-1dry.xyz","BADR","BADR1","BADR1-1","Yes",20.8440458711667,7.59279314643286,3.00972757127577,241.875828567979
"99","badr1-2.xyz","BADR","BADR1","BADR1-2","No",23.43198904001,7.00222386664231,2.90194702606202,211.630845622273
"100","badr1-2dry.xyz","BADR","BADR1","BADR1-2","Yes",21.9328067878267,6.13970781098317,5.55559011381964,309.900280858484
"101","badr2-1.xyz","BADR","BADR2","BADR2-1","No",27.4745650085745,5.49420783596526,3.49020716700198,230.468830494214
"102","badr2-1dry.xyz","BADR","BADR2","BADR2-1","Yes",18.392832109469,4.38412144634562,3.45985712381854,128.95100436958
"103","badr2-2.xyz","BADR","BADR2","BADR2-2","No",26.7476471756661,5.16947899304599,2.74391471667489,172.42840942291
"104","badr2-2dry.xyz","BADR","BADR2","BADR2-2","Yes",21.4487719741521,5.28479867506008,2.84713292989284,147.62423620861
"105","badr3-1.xyz","BADR","BADR3","BADR3-1","No",21.549096749221,5.81012580968201,2.14658328156031,90.9291248276391
"106","badr3-1dry.xyz","BADR","BADR3","BADR3-1","Yes",28.322665863973,4.68704049194253,1.851975045241,98.056957901538
"107","badr3-2.xyz","BADR","BADR3","BADR3-2","No",28.9602082792299,6.40759718351405,3.1692845135598,271.393495592457
"108","badr3-2dry.xyz","BADR","BADR3","BADR3-2","Yes",24.8473526306079,5.0596112633537,2.45377097725482,99.6569193880171
"109","balo1-1.xyz","BALO","BALO1","BALO1-1","No",97.3407740820929,85.5117151455335,14.5371201225744,47641.8054875447
"110","balo1-1dry.xyz","BALO","BALO1","BALO1-1","Yes",78.4483208030445,58.9034825804127,37.5147745930635,64242.4806445969
"111","balo1-2.xyz","BALO","BALO1","BALO1-2","No",66.3312143356591,85.2521312769573,9.11498281845295,20697.9648860699
"112","balo1-2dry.xyz","BALO","BALO1","BALO1-2","Yes",63.7821705402069,45.1323344713553,34.6055136851034,36192.5697161143
"113","balo2-1.xyz","BALO","BALO2","BALO2-1","No",64.0037123983866,64.0217604331899,9.26192098564224,16929.9176439131
"114","balo2-1dry.xyz","BALO","BALO2","BALO2-1","Yes",64.8714978830617,51.4476323328464,22.5319653221125,26616.967678121
"115","balo2-2.xyz","BALO","BALO2","BALO2-2","No",68.7843181259687,75.5557519631374,14.5766277506108,29349.002095716
"116","balo2-2dry.xyz","BALO","BALO2","BALO2-2","Yes",66.3808832470181,65.3740670458717,22.6276244256883,34547.8457806906
"117","balo3-1.xyz","BALO","BALO3","BALO3-1","No",94.8173999361757,77.9764472402176,27.2470750707174,75588.7433827583
"118","balo3-1dry.xyz","BALO","BALO3","BALO3-1","Yes",82.5420844189771,71.3694633128647,30.0040809791302,64028.8167250967
"119","balo3-2.xyz","BALO","BALO3","BALO3-2","No",63.0359781178365,46.0846758197697,9.8274700599053,10766.1095461634
"120","balo3-2dry.xyz","BALO","BALO3","BALO3-2","Yes",51.3480684289386,49.0640321340776,16.4635497871796,19292.6922039829
"121","baru1-1.xyz","BARU","BARU1","BARU1-1","No",131.717380093171,113.172007068028,24.3751617134756,142864.38781094
"122","baru1-1dry.xyz","BARU","BARU1","BARU1-1","Yes",129.167968284642,119.947330987717,29.4427062054665,181269.187823596
"123","baru1-2.xyz","BARU","BARU1","BARU1-2","No",106.678871363705,80.8385141884765,26.2049465813567,89197.057854476
"124","baru1-2dry.xyz","BARU","BARU1","BARU1-2","Yes",105.975043026633,99.8300880100856,29.5138803383068,115885.475931071
"125","baru2-1.xyz","BARU","BARU2","BARU2-1","No",119.312895251361,91.4442652543233,19.6448460464111,87029.675399471
"126","baru2-1dry.xyz","BARU","BARU2","BARU2-1","Yes",112.177592951959,86.7674793690586,12.994292796773,59699.0786180487
"127","baru2-2.xyz","BARU","BARU2","BARU2-2","No",119.81342728971,82.07052176701,27.401014766079,111175.886947065
"128","baru2-2dry.xyz","BARU","BARU2","BARU2-2","Yes",117.758619577689,78.4738910118224,21.8340717164929,83648.5209950033
"129","baru3-1.xyz","BARU","BARU3","BARU3-1","No",97.1497174961411,95.1293782800197,25.3865581649931,97986.4895401485
"130","baru3-1dry.xyz","BARU","BARU3","BARU3-1","Yes",94.3693542820316,99.3730125634968,19.827519143965,76853.713689097
"131","baru3-2.xyz","BARU","BARU3","BARU3-2","No",91.5291919890602,87.9330800366934,24.6272801794177,76593.1581549444
"132","baru3-2dry.xyz","BARU","BARU3","BARU3-2","Yes",80.7341578223267,73.1633671768076,34.8404265576348,78317.0471723427
"133","byin1-1.xyz","BYIN","BYIN1","BYIN1-1","No",58.9151836898954,26.0421406913698,6.48261035390901,3923.77380452279
"134","byin1-1dry.xyz","BYIN","BYIN1","BYIN1-1","Yes",57.2877042706274,26.9899353480475,8.35670589740695,5144.81862032389
"135","byin1-2.xyz","BYIN","BYIN1","BYIN1-2","No",50.1835615453562,25.0958947382941,5.83517843493095,3130.30722652754
"136","byin1-2dry.xyz","BYIN","BYIN1","BYIN1-2","Yes",49.7611991810013,25.5093936618182,6.94026461674652,3510.36363332993
"137","byin2-1.xyz","BYIN","BYIN2","BYIN2-1","No",77.521677099409,24.4012912556486,9.85722642321255,7044.762770659
"138","byin2-1dry.xyz","BYIN","BYIN2","BYIN2-1","Yes",70.7820149559955,24.3781035100773,16.2205719486814,9901.02073008527
"139","byin2-2.xyz","BYIN","BYIN2","BYIN2-2","No",72.5773368687823,27.2451390320649,8.74808658455373,5959.62156324179
"140","byin3-1.xyz","BYIN","BYIN3","BYIN3-1","No",93.5415383995578,32.0840196074999,6.64823008366358,8160.51152665545
