"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","Comments","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","FG"
"1","AESE1-1","AESE",24.4,10.9,1.63,0.34,0.58,22.5,3.34,4.02,0.38,1.597,169.7610225,106.2999515,"",226.776447434397,98.963417595303,36.9098737003071,361457.788881254,213.424410304644,49.4703185562195,38.3059038610592,135998.29166547,"G"
"2","AESE1-2","AESE",20.7,9.8,2.15,0.35,0.72,18.9,3.57,2.75,0.22,1.247,134.2143552,107.6297957,"",197.6126117148,91.0264313588636,36.8639848415173,204399.093519961,177.532041678646,37.0719830553686,28.1436950329715,81426.8042273855,"G"
"3","AESE2-1","AESE",20.9,7.7,1.62,0.21,0.76,18.9,1.48,2.57,0.12,0.692,85.4753846,123.5193419,"",190.553867315716,73.7214803206862,25.6084107697069,121457.537911416,168.280460131541,42.4597731628565,27.1204082874094,68328.9632839342,"G"
"4","AESE2-2","AESE",24.1,8.14,3.42,0.27,1.18,20.9,2.73,2.93,0.2,1.053,105.4557031,100.1478662,"",214.878594063113,73.3840869708486,38.6834031621794,228223.974100216,189.113558625178,39.6825254418966,30.4026469567078,75949.9179438937,"G"
"5","AESE3-1","AESE",24.5,10.8,1.48,0.39,1.02,17.5,6.52,3.73,0.24,1.624,165.5289163,101.9266726,"",217.040591756349,101.927117142757,33.1061895444488,302248.996753676,169.40506902012,47.7296652393261,55.9944030456314,162595.228473109,"G"
"6","AESE3-2","AESE",23.6,10.4,2.91,0.36,0.82,20.8,4.8,3.55,0.22,1.477,163.9094213,110.9745574,"",213.734201922446,96.7307397220906,39.5330049177956,264479.140322406,190.020602057716,59.0671735364078,46.5911225742243,176430.61612761,"G"
"7","AEVE1-1","AEVE",16.9,6.7,4.07,0.33,0.67,15.9,3.2,2.8,0.27,0.734,71.03677549,96.78034808,"",163.170995469051,55.7780298354929,41.8939564414174,146960.994413671,149.285811555357,35.8070773798209,32.1708784108454,60689.9411452216,"S"
"8","AEVE1-2","AEVE",10.51,5.03,2.37,0.3,0.53,9.22,3.22,1.67,0.23,0.302,29.93879317,99.13507672,"",100.243564222999,48.9267502986917,29.922076870327,48407.6139899749,84.4376511959825,33.3258847678151,22.4657460335395,19933.8274810887,"S"
"9","AEVE2-1","AEVE",13.5,6.6,3.87,0.41,0.48,12.78,3.8,2.62,0.29,0.696,55.12361735,79.20059964,"",115.615227458276,61.4155819866005,43.7919664558463,98868.7905518251,129.736263449297,46.0137774860294,27.2233561783315,56379.6460946649,"S"
"10","AEVE2-2","AEVE",14.5,7.7,3.12,0.43,0.52,13.53,4.94,3.47,0.35,0.865,67.50524133,78.04074143,"",124.649709108571,70.1413915248162,30.9900995862914,110824.412123217,129.270381802223,55.3614076270602,39.9092373409821,77064.4624029094,"S"
"11","AEVE3-1","AEVE",15.2,7.2,3.41,0.5,0.58,13.62,3.27,3.18,0.3,0.878,73.48910033,83.70056986,"",129.461172792474,53.6080607765145,35.2287329663967,88012.0613499289,131.322935109422,42.7206408572254,34.571663228645,68145.2228816626,"S"
"12","AEVE3-2","AEVE",15.9,8.2,2.44,0.44,0.57,14.07,3.3,2.39,0.22,1.109,70.12530778,63.23291955,"",147.201363037325,81.8540291544788,30.9939769676231,149789.88630722,132.140172116942,35.1211601534619,28.1050675614698,54433.0055693793,"S"
"13","ALED1-1","ALED",13.2,6.22,2.14,0.22,0.97,12.68,6.16,2.04,0.15,0.716,52.69086236,73.59058989,"",118.157172312367,59.1015519598124,23.1416204461579,42994.0769595239,111.347824671156,60.5440805029478,17.3189159858305,37192.3076163014,"G"
"14","ALED1-2","ALED",14.21,6.47,2.59,0.19,0.95,13.63,5.9,1.47,0.13,0.754,58.18389797,77.16697343,"",127.932079513521,61.9365062321001,20.0230767623286,45609.4445322865,123.047363903589,61.6618531238793,16.3771646783229,46043.2016271725,"G"
"15","ALED2-1","ALED",13.9,4.58,2.24,0.16,1.25,9.64,5.12,4.41,0.15,0.375,44.00234927,117.3395981,"",126.534018082394,41.5604907299112,15.2699293139507,29998.9544571949,102.370634617406,49.4940047819428,47.8356754246064,63926.0598170881,"G"
"16","ALED2-2","ALED",15.22,5.07,2.98,0.28,1.45,15.05,4.39,1.35,0.18,0.56,53.5547316,95.63344929,"",136.048855135383,58.1494232058715,32.4826724544719,78562.1421722536,139.015553539415,53.5061579776675,21.0925002338652,54641.1098500544,"G"
"17","ALED3-1","ALED",14.95,7.39,4.93,0.22,1.51,13.47,6.5,3.96,0.24,1.458,85.36104792,58.5466721,"",129.348128027535,73.8604252388335,38.459484717408,140703.175024285,127.846549641722,64.1995140158759,45.2458465852331,122117.532020687,"G"
"18","ALED3-2","ALED",15.28,7.38,3.97,0.35,0.99,13.42,7.37,4.03,0.22,1.321,85.97344812,65.08209548,"",136.829426415466,68.284300934724,42.1817816547787,130685.728134495,132.530908371973,73.9465463639721,30.3257221922332,108370.108434602,"G"
