"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","Comments","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","FG"
"19","AMIN1-1","AMIN",11.98,4.24,1.93,0.19,1.35,11.49,2.37,1.99,0.19,0.415,35.81541224,86.30219817,"",108.435137095738,41.9923840412028,23.3577766233065,32637.4196688729,105.20831771063,29.415036177564,19.8047343471622,28287.9278438937,"G"
"20","AMIN1-2","AMIN",13.65,4.26,1.63,0.18,1.62,10.58,2.07,1.85,0.13,0.288,37.18085754,129.1001998,"",113.913546516057,42.8463415585083,16.8457675098115,28716.8975248491,99.9547403550801,24.1497428434098,24.6209216585817,24086.1497927799,"G"
"21","AMIN2-1","AMIN",14.57,5.28,2.34,0.18,0.76,13.17,3.96,1.28,0.12,0.394,52.22778085,132.5578194,"",128.332488992646,54.7030194188452,21.3569975314103,47330.3946118828,NA,NA,NA,NA,"G"
"22","AMIN2-2","AMIN",13,4.64,2.29,0.19,0.8,11.23,2.15,1.65,0.1,0.332,44.04034203,132.6516326,"",102.394199838142,22.9071091568954,19.8006725533794,18836.8781634733,122.140882102135,44.0585266702265,15.9158242070248,36427.1529918342,"G"
"23","AMIN3-1","AMIN",13.39,4.25,2.35,0.25,1.4,10.88,2.17,3.16,0.18,0.496,39.64974149,79.93899494,"",120.956622218816,41.8955579747859,23.3835167737109,36571.5251875638,97.4298370023805,36.8086364318971,33.2376438125539,36993.2463095135,"G"
"24","AMIN3-2","AMIN",10.48,3.13,1.54,0.27,1.03,9.23,1.66,1.18,0.14,0.261,22.84138801,87.51489659,"",88.1071746677174,31.3584785804312,12.8720839665047,12442.566029463,78.8060306834581,21.7707701858768,14.7600692710901,12272.5350518044,"G"
"25","ANCA1-1","ANCA",14.83,4.47,2.71,0.17,2.66,13.75,3.42,1.46,0.19,0.491,51.92993198,105.7636089,"",134.775136850916,50.1954555715651,18.0007570306071,53986.4765061258,126.242946477246,37.3169309611971,14.6700822592695,26399.4056999284,"G"
"26","ANCA1-2","ANCA",14.83,4.59,2.04,0.18,1.82,5.21,4.36,2.14,0.16,0.402,42.92808619,106.786284,"",125.123802428339,46.4649014612221,10.0197508262695,22243.6772084183,125.870675823553,42.2465364140477,22.3434138788376,40563.976098032,"G"
"27","ANCA2-1","ANCA",20.3,4.47,3.16,0.17,2.41,17.8,3.26,1.88,0.25,0.578,59.44712125,102.8496907,"",172.320983790601,44.9624273788716,19.0995527746906,59310.011783758,165.696906616292,38.169393641009,21.6293544937274,54110.422462351,"G"
"28","ANCA2-2","ANCA",14.05,3.08,1.06,0.21,2.21,11.46,3.08,1.65,0.24,0.267,31.52180076,118.0591789,"",124.288941512172,34.4346919313945,13.3377483267812,23748.2774160852,108.20073857136,32.8217332658935,21.9929305153761,24405.7585184647,"G"
"29","ANCA3-1","ANCA",13.66,4.22,0.92,0.19,0.99,12.19,3.86,2.19,0.18,0.382,39.78766236,104.1561842,"",135.118918555821,49.0418572883496,11.1024029790953,28854.5356790884,107.334826903737,39.7751845022914,22.7689757352281,32988.6695182569,"G"
"30","ANCA3-2","ANCA",13.04,4.07,2.01,0.2,1.56,12.49,3.62,1.73,0.21,0.299,35.43641658,118.5164434,"",112.544749482295,43.1966225325439,15.6302301610205,28105.3417382196,113.687672745979,37.1861919368974,17.1693798056391,22976.4442935618,"G"
"31","ANCA3-3","ANCA",12.35,4.38,2.1,0.2,1.38,11.35,4.16,1.37,0.18,0.373,36.91576846,98.96988864,"",NA,NA,NA,NA,105.586689194244,42.8227771309293,17.3206792052269,28783.2731600232,"G"
"32","ANCA3-4","ANCA",14.32,4.53,1.55,0.18,1.4,12.93,4.11,1.39,0.19,0.447,44.49302929,99.53697828,"",128.076965143757,46.4870109781066,13.7358591422904,31074.543678056,123.714018336094,42.649343105935,18.4396385794918,35260.5249057719,"G"
"33","ANCR1-1","ANCR",10.52,4.72,2.54,0.31,0.79,9.92,5.11,1.49,0.16,0.685,41.4602755,60.52594964,"",98.5305041527606,48.8725055087028,25.7590256005263,39933.5924629091,94.3346176431314,50.7169754263607,15.8243282697004,30630.1026440358,"S"
"34","ANCR1-2","ANCR",10.67,4,2.44,0.25,0.47,9.82,3.68,2.17,0.24,0.66,44.09331683,66.8080558,"",96.3331809507236,39.7726662915346,25.4749994550678,40371.3803620924,90.8291396438918,41.9925312068181,20.9670061678376,32349.6872327605,"S"
"35","ANCR2-1","ANCR",8.9,3.9,1.3,0.26,0.33,8.58,3.84,0.79,0.19,0.317,26.18561071,82.60445019,"",82.0107818066021,39.1782896994545,14.5963608096613,15913.700907056,77.812863002044,39.5785634657896,10.6573441444154,14291.2384552919,"S"
"36","ANCR2-2","ANCR",8.62,2.31,2.54,0.3,0.88,8.28,1.82,1.93,0.21,0.447,27.63600208,61.825508,"",79.623040631216,25.2200199508858,25.1850826575775,19307.9544628164,78.3586561739771,26.121927810474,17.146164969283,13273.9324988604,"S"
"37","ANCR3-1","ANCR",10.62,6.6,1.99,0.2,0.73,10.27,6.74,1.63,0.31,0.912,56.27558637,61.70568681,"",100.097056416304,62.3407238649433,31.8497221555481,73791.6086491402,94.9723311841869,68.6749366431635,16.4298146303695,43893.5629073615,"S"
"38","ANCR3-2","ANCR",10.15,6.71,1.6,0.28,0.75,9.98,6.04,0.92,0.29,0.822,55.17379646,67.12140689,"",100.269663402118,64.6225059125519,26.5385136334711,70283.5146517311,NA,NA,NA,NA,"S"
"39","ANFA1-1","ANFA",0.66,0.21,0.23,0.23,0,0.475,0.135,0.023,0.23,0.002,0.050394164,25.19708222,"ANFA 3d scans unreliable sf 090619",6.82004033185263,1.9075153734691,1.02879559442776,7.23623370795058,4.27394295727149,1.77892855843011,1.3085827000502,3.87933296135735,"G"
"40","ANFA1-2","ANFA",0.71,0.18,0.34,0.15,0,NA,NA,NA,NA,NA,0.124372511,NA,"ANFA 3d scans unreliable sf 090620",6.6985492688669,2.08387965603972,1.30033873617332,9.16534249477489,NA,NA,NA,NA,"G"
"41","ANFA2-1","ANFA",0.52,0.13,0.02,0.03,0,0.51,0.126,0.018,0.01,0,0.046523204,NA,"ANFA 3d scans unreliable sf 090621",2.98772473974249,1.11002559874875,0.437568328863197,0.718726519935501,1.459894517229,0.382911154492178,5.54571863139314e-05,6.97764846485949e-06,"G"
"42","ANFA2-2","ANFA",0.5,0.16,0.03,0.02,0,0.5,0.159,0.026,0.021,0.001,0.054050071,54.05007111,"ANFA 3d scans unreliable sf 090622",1.99818928608816,0.741454237933696,0.262977366835598,0.107758710635564,2.32652021645415,1.50748303003164,0.995343862060192,0.945400585938812,"G"
"43","ANFA3-1","ANFA",0.43,0.1,0.02,0.01,0,0.42,0.095,0.024,0.013,0,0.046379836,NA,"ANFA 3d scans unreliable sf 090623",3.0864481335558,1.60598150899045,0.715226010760843,1.15254577532029,1.63059686321137,0.806072490952821,0.324527257489905,0.123141537873952,"G"
"44","ANFA3-2","ANFA",0.46,0.13,0.02,0.02,0,0.45,0.153,0.023,0.012,0.002,0.06258052,31.29026,"ANFA 3d scans unreliable sf 090624",1.39794911185223,0.343180316557133,3.89171486642678e-05,3.57194697996516e-06,0.978091471897461,0.712566626020295,0.0654451709841788,0.00834597209062863,"G"
"45","ASTO1-1","ASTO",15.3,6.25,3.3,0.43,0,14.87,5.69,1.82,0.31,1.197,63.0076876,52.63800134,"",147.656460703882,53.4591486557836,36.2710693056612,108313.130370855,135.788101534895,59.6465547758612,20.9975282004317,73592.1308521519,"S"
"46","ASTO1-2","ASTO",16.1,7.4,3.75,0.43,0,15.37,5.47,3.69,0.43,1.459,64.36904689,44.1186065,"",153.0919127476,64.3541712955731,43.8654967952242,169651.731297679,149.126214791335,73.2215522536358,35.9130911238324,131504.779575497,"S"
"47","ASTO2-1","ASTO",16.8,7.5,0.86,0.41,0,14.33,6.26,3.37,0.34,1.051,82.30843753,78.31440298,"",159.866076347026,76.3646839444274,14.3292337321134,73120.626662019,133.837535245542,60.7460668257115,37.7630210796894,111461.949822418,"S"
"48","ASTO2-2","ASTO",14.02,5.07,1.49,0.38,0,12.62,4.29,1.58,0.32,0.738,43.41998484,58.83466781,"",134.832664143582,50.9103868896495,19.938535155435,54960.1505755961,119.684006773744,46.2941264279881,24.1830533497094,42474.8973297167,"S"
"49","ASTO3-1","ASTO",18.6,9.1,3.2,0.45,0,17.1,7.81,2.7,0.32,1.657,111.5214257,67.30321406,"",171.378546815864,88.4005289105154,39.8216834992351,220709.507883087,164.858330424366,90.0082957473966,39.677648219217,186144.642307117,"S"
"50","ASTO3-2","ASTO",12.9,5.3,1.65,0.32,0,11.58,4.46,1.27,0.22,0.523,44.73417576,85.53379687,"",124.119766687487,59.0711988349125,25.6958057678,57728.7560607209,106.466552995953,51.4473497325443,19.2264068710469,36320.7878347642,"S"
"51","BADR1-1","BADR",2.43,0.66,0.21,0.14,0.08,2.38,0.45,0.15,0.21,0.009,1.278133644,142.0148494,"",20.7817374743934,6.86192849245651,3.11481284264919,187.110343576921,20.8440458711667,7.59279314643286,3.00972757127577,241.875828567979,"G"
"52","BADR1-2","BADR",2.63,0.7,0.51,0.2,0.14,2.42,0.57,0.25,0.26,0.008,1.261359484,157.6699356,"",23.43198904001,7.00222386664231,2.90194702606202,211.630845622273,21.9328067878267,6.13970781098317,5.55559011381964,309.900280858484,"G"
"53","BADR2-1","BADR",2.94,0.52,0.19,0.19,0.01,2.84,0.43,0.24,0.2,0.011,1.228456324,111.6778477,"",27.4745650085745,5.49420783596526,3.49020716700198,230.468830494214,18.392832109469,4.38412144634562,3.45985712381854,128.95100436958,"G"
"54","BADR2-2","BADR",2.81,0.45,0.23,0.22,0.03,2.65,0.4,0.16,0.17,0.011,1.070033702,97.27579111,"",26.7476471756661,5.16947899304599,2.74391471667489,172.42840942291,21.4487719741521,5.28479867506008,2.84713292989284,147.62423620861,"G"
"55","BADR3-1","BADR",3.46,0.74,0.29,0.26,0.18,3.28,0.51,0.19,0.24,0.011,1.907021276,173.3655705,"",21.549096749221,5.81012580968201,2.14658328156031,90.9291248276391,28.322665863973,4.68704049194253,1.851975045241,98.056957901538,"G"
"56","BADR3-2","BADR",3.14,0.65,0.23,0.2,0.15,3.06,0.57,0.26,0.13,0.013,1.681358644,129.3352803,"",28.9602082792299,6.40759718351405,3.1692845135598,271.393495592457,24.8473526306079,5.0596112633537,2.45377097725482,99.6569193880171,"G"
"57","BALO1-1","BALO",11.27,8.59,0.61,0.23,2.68,5.08,7.9,5.08,0.13,0.34,60.9717777,179.3287579,"",97.3407740820929,85.5117151455335,14.5371201225744,47641.8054875447,78.4483208030445,58.9034825804127,37.5147745930635,64242.4806445969,"G"
"58","BALO1-2","BALO",8.91,6.6,0.59,0.17,2.29,4.9,6.09,3.41,0.12,0.193,36.7934748,190.6397658,"",66.3312143356591,85.2521312769573,9.11498281845295,20697.9648860699,63.7821705402069,45.1323344713553,34.6055136851034,36192.5697161143,"G"
"59","BALO2-1","BALO",7.82,6.53,1.44,0.16,1.87,7.51,4.73,1.83,0.22,0.223,35.38164967,158.6621061,"",64.0037123983866,64.0217604331899,9.26192098564224,16929.9176439131,64.8714978830617,51.4476323328464,22.5319653221125,26616.967678121,"G"
"60","BALO2-2","BALO",9.06,7.28,1.1,0.21,1.94,8.14,6.44,1.84,0.18,0.341,41.76299891,122.4721376,"",68.7843181259687,75.5557519631374,14.5766277506108,29349.002095716,66.3808832470181,65.3740670458717,22.6276244256883,34547.8457806906,"G"
"61","BALO3-1","BALO",10.65,7.77,3.18,0.19,1.62,8.82,7.41,2.89,0.13,0.507,65.1924861,128.5847852,"",94.8173999361757,77.9764472402176,27.2470750707174,75588.7433827583,82.5420844189771,71.3694633128647,30.0040809791302,64028.8167250967,"G"
"62","BALO3-2","BALO",6.65,5.35,1.16,0.18,1.95,6.01,4.69,2.04,0.16,0.147,23.70267661,161.242698,"",63.0359781178365,46.0846758197697,9.8274700599053,10766.1095461634,51.3480684289386,49.0640321340776,16.4635497871796,19292.6922039829,"G"
"63","BARU1-1","BARU",12.53,12.3,3.14,0.36,1.88,12.27,12.21,3.24,0.17,1.27,99.74159263,78.53668711,"",131.717380093171,113.172007068028,24.3751617134756,142864.38781094,129.167968284642,119.947330987717,29.4427062054665,181269.187823596,"S"
"64","BARU1-2","BARU",9.66,10.02,2.23,0.4,0.12,10.5,9.8,2.93,0.28,1.273,83.94456329,65.94231209,"",106.678871363705,80.8385141884765,26.2049465813567,89197.057854476,105.975043026633,99.8300880100856,29.5138803383068,115885.475931071,"S"
"65","BARU2-1","BARU",11.63,9.24,2.79,0.31,0.21,11.62,8.86,1.52,0.23,1.42,88.80706253,62.54018488,"",119.312895251361,91.4442652543233,19.6448460464111,87029.675399471,112.177592951959,86.7674793690586,12.994292796773,59699.0786180487,"S"
"66","BARU2-2","BARU",11.55,8.06,3.31,0.27,1.81,10.68,7.79,1.68,0.27,1.238,57.86547567,46.74109505,"",119.81342728971,82.07052176701,27.401014766079,111175.886947065,117.758619577689,78.4738910118224,21.8340717164929,83648.5209950033,"S"
"67","BARU3-1","BARU",9.71,9.98,2.3,0.22,1.88,8.77,9.96,1.77,0.26,0.792,80.50829776,101.6518911,"replaced freshL with 3d scan fresh length, was originally 6.84, implausible value - sf 090619",97.1497174961411,95.1293782800197,25.3865581649931,97986.4895401485,94.3693542820316,99.3730125634968,19.827519143965,76853.713689097,"S"
"68","BARU3-2","BARU",8.45,8.1,2.77,0.3,2.36,8.56,7.08,3.32,0.3,0.547,60.42683255,110.4695293,"",91.5291919890602,87.9330800366934,24.6272801794177,76593.1581549444,80.7341578223267,73.1633671768076,34.8404265576348,78317.0471723427,"S"
"69","BYIN1-1","BYIN",6.38,2.56,0.42,0.29,0.34,6.15,2.51,0.67,0.16,0.219,12.12556715,55.36788651,"",58.9151836898954,26.0421406913698,6.48261035390901,3923.77380452279,57.2877042706274,26.9899353480475,8.35670589740695,5144.81862032389,"S"
"70","BYIN1-2","BYIN",5.49,2.47,0.26,0.31,0.26,5.32,2.42,0.42,0.2,0.171,9.56385184,55.92895813,"",50.1835615453562,25.0958947382941,5.83517843493095,3130.30722652754,49.7611991810013,25.5093936618182,6.94026461674652,3510.36363332993,"S"
"71","BYIN2-1","BYIN",8.33,2.29,0.71,0.28,0.23,7.83,2.24,1.34,0.14,0.225,14.32291042,63.65737965,"",77.521677099409,24.4012912556486,9.85722642321255,7044.762770659,70.7820149559955,24.3781035100773,16.2205719486814,9901.02073008527,"S"
"72","BYIN2-2","BYIN",7.85,2.69,0.95,0.25,0.21,6.87,2.61,2.07,0.18,0.212,14.42627939,68.04848769,"",72.5773368687823,27.2451390320649,8.74808658455373,5959.62156324179,NA,NA,NA,NA,"S"
"73","BYIN3-1","BYIN",9.52,3.08,0.3,0.31,0.87,9.25,2.53,0.76,0.24,0.313,18.83731,60.18309903,"",93.5415383995578,32.0840196074999,6.64823008366358,8160.51152665545,92.1914084833689,28.7188315764303,10.1714854326562,10982.7368922024,"S"
"74","BYIN3-2","BYIN",9.62,4.03,0.35,0.32,0.57,9.22,3.61,1.1,0.16,0.377,26.56410458,70.46181586,"",94.9116720539013,42.0311709452628,4.7732815194401,9076.90245112757,89.0934998638108,39.5788285850941,11.9455330345012,13978.3843253443,"S"
"75","BYLA1-1","BYLA",12.61,3.87,1.45,0.22,1.07,11.7,3.84,2,0.17,0.425,31.92309028,75.11315359,"",114.926491034038,40.1187123603754,14.0351948918151,25477.8240219398,103.84837799024,38.2713468471674,19.5132039461252,25467.3740751776,"G"
"76","BYLA1-2","BYLA",13.01,3.66,1.75,0.23,1.6,12.12,3.52,1.18,0.13,0.352,33.07004139,93.94898121,"",120.71387940476,38.0875926116412,13.3343098436457,22848.3237739086,115.920572531355,36.4513408300851,16.1778504649919,24549.655669618,"G"
"77","BYLA2-1","BYLA",13.67,4.22,1.63,0.22,0.83,11.71,3.08,2.11,0.15,0.46,40.76328765,88.61584271,"",128.014074254461,44.0690134002761,16.4911068664992,34011.4343296256,106.825795927951,37.603930387621,21.8736308179749,32092.3434108008,"G"
"78","BYLA2-2","BYLA",11.02,4.86,1.17,0.27,0.7,9.97,4.53,1.44,0.16,0.405,34.88301267,86.13089548,"",101.188120589746,49.2760162641177,15.8470447547788,30428.0996485497,90.4669443743787,45.4741618554764,20.5529552373038,32740.1678791591,"G"
"79","BYLA3-1","BYLA",10.78,4.8,1.7,0.19,0.9,10.1,4.56,1.44,0.27,0.541,39.7561212,73.48636082,"",100.851182401132,46.506112616282,18.7515113124919,30601.7782332211,95.0616593086713,46.3341176159565,17.2292550599633,29245.6609318704,"G"
"80","BYLA3-2","BYLA",8.67,3.65,1.32,0.28,0.63,8.03,3.17,1.35,0.23,0.315,24.32790833,77.23145503,"",80.6009390678741,36.6447103335727,11.66765155875,13236.4550207266,77.1215587837743,33.8341007100897,12.1726363461378,13649.1900381577,"G"
"81","CAAD1-1","CAAD",7.7,2.5,NA,NA,NA,7.31,1.52,0.847,0.37,0.191,NA,NA,"",91.7419111791452,28.3870758768679,17.1192571772731,19764.9064212905,66.8840466938686,17.6963316126501,8.98150553326089,4410.08635686656,"S"
"82","CAAD1-2","CAAD",9.7,3,NA,NA,NA,8.63,1.62,1.41,0.32,0.337,NA,NA,"",95.4073117253717,29.4871491082709,15.0328565156856,15882.2185712039,80.3137813007119,24.9314585101284,15.5663263040891,10910.7812163854,"S"
"83","CAAD2-1","CAAD",7.2,4.06,1.31,0.29,0.5,6.84,12.25,1.1,0.23,0.293,17.37487564,59.29991688,"",70.8322294064865,36.3722271035495,17.2145629689184,14131.4106565554,65.3479484419532,13.8830856874967,10.8908528333513,5248.123589293,"S"
"84","CAAD2-2","CAAD",8.3,3.24,1.08,0.28,0.63,7.7,2.92,0.98,0.21,0.224,18.84920961,84.1482572,"",82.8637334203249,33.7584113943473,12.2890711993673,12310.3284874943,74.598169117385,29.7697029165374,17.6210724085338,12122.8970436922,"S"
"85","CAAD3-1","CAAD",9.2,3.4,0.67,0.26,0.73,7.25,1.39,1.12,0.27,0.259,19.19100104,74.09652913,"",77.9097238853635,31.3438515959303,8.30011430654885,7735.42916663759,63.9812479925881,21.8097897210823,15.0929839177299,9901.11294829076,"S"
"86","CAAD3-2","CAAD",7.8,3.5,1.88,0.25,0.97,6.74,1.8,1.37,0.21,0.208,16.72304899,80.399274,"",67.0321023777103,33.1826983240057,21.4241371655845,11889.8257580695,55.906970947969,24.5891167292494,14.9631743461607,8062.92349186214,"S"
"87","CABR1-1","CABR",11.14,7.89,2.73,0.42,0.11,10.37,6.98,2.08,0.4,0.813,43.38507452,53.3641753,"",108.146654222898,73.0875863364572,30.3669531235703,103197.705709235,103.245500411825,77.9066733446121,25.3266967765024,85464.8557611862,"S"
"88","CABR1-2","CABR",17.6,12.3,5.27,0.38,0.77,15.9,10.7,3.81,0.38,1.938,95.75264004,49.40796699,"",167.805698892463,123.140661694391,54.5937340659122,383221.062968156,149.020189580545,105.636679904227,40.9770308603523,269723.075395646,"S"
"89","CABR2-1","CABR",13.4,11.4,3.12,0.34,0.61,12.75,10.73,2.79,0.3,1.295,108.8226497,84.03293416,"",133.692278550046,113.709876143727,40.8818699975633,231144.046165675,119.102028906739,99.3354820578423,25.650014835158,127374.288070395,"S"
"90","CABR2-2","CABR",11.6,10.2,4.88,0.41,0.28,9.65,5.14,4.63,0.41,1.577,96.59629426,61.25319864,"",108.978188045,78.7923147828462,62.8185457605586,173907.462750977,108.470005334381,69.3667920155684,46.5053207494574,143506.006621261,"S"
"91","CABR3-1","CABR",20.4,11.4,3.48,0.34,1.26,19.1,11.1,2.36,0.55,2.08,157.3096495,75.6296392,"",171.247258663033,87.0802967146909,68.8972293711832,353104.740848971,178.440273260034,111.408411268588,36.2788930484502,292617.138888865,"S"
"92","CABR3-2","CABR",12.7,7.5,1.54,0.37,0.6,11.57,4.92,2.45,0.37,0.791,63.56231015,80.35690285,"",104.724708319934,64.0467685191332,16.341480981319,43959.6950931928,110.061425521471,52.4323123902985,26.7674729340132,68786.5195798227,"S"
"93","CAGU1-1","CAGU",10.56,3.8,0.75,0.18,0.22,10.11,1.7,1.3,0.18,0.208,27.06919317,130.1403518,"",97.3274000331557,39.3175304311453,12.4687825297943,17104.6361636509,92.600866470118,17.2241285292357,13.1559870088054,9846.34297962521,"G"
"94","CAGU1-2","CAGU",7.12,2.81,1.11,0.29,0.55,6.96,1.98,1.07,0.35,0.105,14.46506068,137.7624826,"",66.6779106230935,29.3594563605672,11.3544071306839,7736.25320975979,63.32059389255,21.5538376548962,9.96731687709496,5090.9555203689,"G"
"95","CAGU2-1","CAGU",12.31,5.52,2.22,0.24,0.93,12.35,4.23,2.1,0.24,0.502,51.60090038,102.7906382,"",111.486395625314,58.7978321773056,29.2240529013562,74043.3107277694,117.110992084819,40.9907652144447,19.5141817102046,34322.0165305415,"G"
"96","CAGU2-2","CAGU",12.71,5.23,2.89,0.16,0.86,11.39,3.13,2.45,0.27,0.478,50.94556119,106.5806719,"",120.878294544549,55.9463541315475,25.5667915440952,62550.9651552619,107.583139724976,34.7924280078147,25.087799682222,35176.6026202674,"G"
"97","CAGU3-1","CAGU",12.06,5.46,1.4,0.18,1.25,10.87,2.3,2.04,0.31,0.296,48.36972405,163.4112299,"",104.366527442915,52.6559005735512,17.3006604180571,34754.6252454961,103.317119310623,31.3736394947647,27.2989089658057,30453.7518335405,"G"
"98","CAGU3-2","CAGU",12.32,4.58,1.65,0.21,0.95,11.49,2.33,2.12,0.3,0.43,41.29826866,96.04248525,"",110.697413372144,41.199035735133,16.197427800821,22291.0455941749,107.805874780013,25.6779012881073,17.3073780638318,19460.7511935616,"G"
"99","CASYf1-1","CASYf",10.1,2.4,NA,NA,NA,9.61,1.09,0.95,0.2,0.147,NA,NA,"",94.8800373962388,23.8350226685568,13.4708532706911,11251.5820058452,92.4712718450999,18.327574307387,12.1315313232115,8683.26313260763,"G"
"100","CASYf1-2","CASYf",9.4,2.7,NA,NA,NA,8.59,1.71,1.54,0.15,NA,NA,NA,"",91.7419111791452,28.3870758768679,17.1192571772731,19764.9064212905,82.0382855860865,20.1505460027253,16.4731518427351,9476.47253962063,"G"
"101","CASYf2-1","CASYf",9.99,3.09,1.66,0.14,0.45,9.46,1.42,0.96,0.13,0.22,23.39866288,106.3575585,"",95.4154529322342,29.4594038687479,18.4357419112402,18515.4392407923,90.5027842610545,15.6693371626505,12.197890950233,7322.83568512981,"G"
