Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
DIBU,3,,,6/5/2019,11:51,10.1,9.5,11.2,10.26666667,65,50,52.5,55.83333333,150,6.7,0.955333333,46.61,23.51,520.3,498.8,629,666,443.6,747.3,0.225,0.346153846,1700,1740,1766,1,0.285576923,0.004759615,84.67459212,
CAAD,2,,,6/7/2019,8:53,5.7,5.6,4.6,5.3,30,27.5,32.5,30,150,14.4,0.904,17.76,7.532,539.6,416.5,499.8,482.2,338.9,546.2,0.118032787,0.138996139,340,645,904,1,0.128514463,0.002141908,36.05749136,
MYFA,1,,,6/7/2019,9:21,2.2,2.3,2.3,2.266666667,0,0,0,0,150,148.9,0.007333333,0,0.138,23.82,19.61,17.92,17.92,19.61,22.96,0,0,,,,1,0,0,0,
PIRO,1,,,6/7/2019,9:35,13.3,12.6,13,12.96666667,62.5,62.5,62.5,62.5,150,18.6,0.876,79.91,32.55,700.6,741.4,689.4,706.4,649,759.5,0.260869565,0.4,175,313,403,1,0.330434783,0.005507246,89.83900522,
KICO,2,,,6/7/2019,9:52,10.4,8.7,8.6,9.233333333,52.5,52.5,52.5,52.5,150,4.6,0.969333333,29.96,19.59,607.4,451.7,605.1,490.9,472.5,685.5,0.160714286,0.243243243,171,395,543,1,0.201978764,0.003366313,60.76505994,
AEVE,3,,,6/7/2019,10:12,9.4,8.9,10.1,9.466666667,62.5,55,67.5,61.66666667,150,6.8,0.954666667,42.17,27.97,513.5,432.8,622.2,615,415.9,681.8,0.279069767,0.553846154,211,340,405,1,0.416457961,0.006940966,123.3951241,
DUFU,1,,,6/7/2019,10:27,4.5,5.2,4.1,4.6,32.5,30,30,30.83333333,150,21.2,0.858666667,22.19,11.07,551.1,519.3,541.7,495.3,416.8,584.7,0.109090909,0.122866894,386,716,1009,1,0.115978902,0.001932982,30.90855255,
ROMO,1,,,6/7/2019,10:45,10.5,9.8,10.2,10.16666667,30,35,42.5,35.83333333,150,6.6,0.956,42.17,27.6,556.8,531.3,643.3,722.6,526.5,758.6,0.214285714,0.223602484,260,428,589,1,0.218944099,0.003649068,64.9630205,
OCCO,2,,,6/7/2019,11:08,5.1,6.6,5.3,5.666666667,47.5,50,50,49.16666667,150,25.3,0.831333333,44.39,22.35,525.8,559.3,669.2,546.6,583.3,652.3,0.238410596,0.295081967,222,373,495,1,0.266746282,0.004445771,68.82538358,
VOTU,1,,,6/7/2019,11:29,5.9,6.7,7.2,6.6,25,27.5,30,27.5,150,30.5,0.796666667,26.63,8.11,403.2,404.9,486.7,454.7,357.2,549,0.106508876,0.108108108,307,645,978,1,0.107308492,0.001788475,26.53296656,
STRO,2,,,6/7/2019,11:48,2.7,3.4,2.9,3,0,0,0,0,150,146.2,0.025333333,0,0.098,36.01,25.17,25.14,25.17,25.17,29.33,0,0,,,,1,0,0,0,
TAGU,1,,,6/7/2019,12:03,5.9,6,5.7,5.866666667,25,27.5,25,25.83333333,150,13.9,0.907333333,17.75,10.55,466.8,449.2,493.3,441.2,270.6,679.8,0.134328358,0.132841328,290,558,829,1,0.133584843,0.002226414,37.61829635,
SIGU,1,,,6/7/2019,12:24,12.8,12.6,13.5,12.96666667,80,82.5,77.5,80,150,7.9,0.947333333,48.82,29.31,513.8,542.6,561,690.2,571.3,673.2,0.43373494,0.43902439,84,167,249,1,0.436379665,0.007272994,128.3046497,
ZETU,1,,yes,6/10/2019,8:46,18.9,21.5,19.6,20,105,105,105,105,150,10.6,0.929333333,58.83,33.79,642.7,715.5,713.9,661.3,532.4,766.3,1.2,1.24137931,90,120,149,1,1.220689655,0.020344828,352.0885085,large leaf volume lead to unatural packing/dring
MABR,1,,,6/10/2019,9:09,4.3,4.2,3.6,4.033333333,20,20,17.5,19.16666667,150,70,0.533333333,13.32,5.054,347.2,283.4,345.6,464.8,275.1,513.6,0.155172414,0.161434978,333,565,788,1,0.158303696,0.002638395,26.20383485,
ASTO,3,,,6/10/2019,9:26,8,8.6,7.7,8.1,65,57.5,65,62.5,150,9.9,0.934,48.83,21.28,597.4,542.3,601.5,517.6,440,673,0.230769231,0.270676692,139,295,428,1,0.250722961,0.004178716,72.68019046,
TAAU,1,,,6/10/2019,9:46,9,9,8.5,8.833333333,52.5,47.5,55,51.66666667,150,8.2,0.945333333,41.06,27.54,549.7,578.6,605.8,586.5,496.3,675.7,0.21686747,0.36,170,336,436,1,0.288433735,0.004807229,84.62644501,
MILI,1,,,6/10/2019,10:01,3.7,3.8,3.3,3.6,0,0,0,0,150,149.7,0.002,0,0.059,25.41,21.21,21.21,21.21,22.89,28.74,0,0,,,,1,0,0,0,power off does not = smoldering
ERTO,1,,,6/10/2019,10:18,10.7,10.3,13.1,11.36666667,62.5,67.5,65,65,150,5.4,0.964,66.58,28.01,508.6,564.6,681.8,637.5,544.6,744.4,0.295081967,0.45,159,281,361,1,0.372540984,0.006209016,111.4618284,
MYTO,1,,,6/10/2019,10:33,5.3,5,5,5.1,18.5,17.5,21.5,19.16666667,150,18.7,0.875333333,19.97,11.04,349.6,367.6,470.5,356.2,317.1,592.7,0.104956268,0.248275862,357,700,845,1,0.176616065,0.002943601,47.9820439,
