Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
ERDE,2,,,6/19/2019,11:07,3.4,4.2,3.7,3.766666667,17.5,10,8,11.83333333,150,50.2,0.665333333,6.657,2.085,366.9,250.6,155.7,245.6,112.1,444.3,0.04,0,485,1392,0,1,0.02,0.000333333,4.129945778,
MYFA,2,,,6/19/2019,11:25,2.2,2.6,2.6,2.466666667,0,0,0,0,150,145.8,0.028,0,0.177,33.63,29.45,27.74,29.42,28.56,58.41,0,0,0,0,0,1,0,0,0,
CASYf,3,,,6/19/2019,11:33,6.5,6.2,6.4,6.366666667,45,40,57.5,47.5,150,22.6,0.849333333,37.72,13.99,606.7,520.4,611.5,382.4,453.2,564.3,0.207,0.206,216,390,565,1,0.2065,0.003441667,54.43438202,
DUFU,3,,,6/19/2019,11:48,5,4.9,5.5,5.133333333,30,27.5,32.5,30,150,22.9,0.847333333,23.3,12.93,581.6,532.1,417.7,528.9,373.3,642.5,0.152,0.119,305,542,845,1,0.1355,0.002258333,35.63433501,
ERSU,2,,,6/21/2019,8:32,7.3,8,7,7.433333333,27.5,32.5,30,30,150,26.7,0.822,22.19,16.32,480.7,435.9,595.8,575,347.1,586.1,0.149,0.148,289,531,774,1,0.1485,0.002475,37.8855279,
PEOB,3,,,6/21/2019,8:49,3.8,4,4.1,3.966666667,30,20,20,23.33333333,150,38.2,0.745333333,11.1,5.35,443,373.8,537.5,470.3,184.9,523.8,0.079,0.082,548,1005,1445,1,0.0805,0.001341667,18.62179309,
PRHE,2,,yes,6/21/2019,9:13,7.6,8,9.3,8.3,50,42.5,50,47.5,150,17.5,0.883333333,45.5,20.81,402.1,551.8,559,472.8,461.6,631,0.316,0.237,214,328,480,1,0.2765,0.004608333,75.80447194,
JACA,1,,,6/21/2019,9:27,5,5.2,6.9,5.7,32.5,32.5,37.5,34.16666667,150,66.7,0.555333333,26.63,12.57,457.5,490.3,521.4,550.1,376.2,582.1,0.225,0.218,197,357,522,1,0.2215,0.003691667,38.17706566,
CASYs,1,,,6/21/2019,9:47,5,4.3,5.1,4.8,20,25,35,26.66666667,150,40.2,0.732,17.75,6.255,520.3,453.1,539.5,462.7,338.6,478.8,0.126,0.116,314,599,910,1,0.121,0.002016667,27.4897964,
MYFA,3,,,6/21/2019,10:07,3.2,3.1,2.6,2.966666667,0,0,0,0,150,139,0.073333333,0,0.197,44.25,25.92,23.39,25.08,25.92,29.24,0,0,0,0,0,1,0,0,0,
PLEL,3,,,6/21/2019,10:18,3,2.8,3.2,3,0,0,0,0,150,141.8,0.054666667,0,0.177,42.75,25.26,23.58,26.91,25.26,36.1,0,0,0,0,0,1,0,0,0,
MABR,3,,,6/21/2019,10:32,3.7,3.6,3.8,3.7,25,27.5,35,29.16666667,150,50.7,0.662,11.1,10.56,453.9,341,575.4,474.8,240.5,514.7,0.162,0.153,295,517,752,1,0.1575,0.002625,32.3603805,
HEAP,1,,yes,6/21/2019,10:50,5.6,5,5.2,5.266666667,27.5,22.5,22.5,24.16666667,150,53.7,0.642,15.54,4.072,464.9,314.7,431.3,393.4,204.7,524.8,0.121,0.145,200,497,746,1,0.133,0.002216667,26.5009682,
QUGR,2,,,6/21/2019,11:07,11.7,11.9,13.2,12.26666667,35,42.5,45,40.83333333,150,14.3,0.904666667,54.37,26.7,646.9,575.6,544.5,598.8,576.4,742.7,0.237,0.321,215,367,479,1,0.279,0.00465,78.3371674,
TOFO,3,,,6/21/2019,11:21,10.4,10,9.8,10.06666667,62.5,57.5,70,63.33333333,150,11.8,0.921333333,64.36,28.41,482.8,522.7,622.7,610.6,620.2,683,0.45,0.2,0,0,0,1,0.325,0.005416667,92.93412556,DID NOT SAVE
ERDE,3,,yes,6/21/2019,11:37,3.8,4,3.7,3.833333333,13.5,15,10,12.83333333,150,51.1,0.659333333,13.31,3.05,425.8,306.7,410.7,389.6,145.4,592.9,0.1,0.061,412,772,1362,1,0.0805,0.001341667,16.47312466,"10 CM UNBURNED, 92.6g ERDE3, 30.6g ERDE1, 26.8g ERDE2"
POTO,3,,,6/21/2019,11:56,14.2,15.2,14.8,14.73333333,72.5,80,57.5,70,150,14.6,0.902666667,73.23,23.98,624.7,541.6,682.8,708.7,587.9,702.2,0.391,0.36,152,244,344,1,0.3755,0.006258333,105.1991955,
JACA,2,,,6/24/2019,8:29,5.8,5.9,5.7,5.8,32.5,32.5,30,31.66666667,150,74.8,0.501333333,18.87,12.96,439.9,411,585.4,464,343.1,513.5,0.165,0.259,158,376,515,1,0.212,0.003533333,32.98659698,
ERSU,3,,,6/24/2019,8:43,6.5,6.4,6.5,6.466666667,27.5,25,32.5,28.33333333,150,23.9,0.840666667,23.31,10.23,351.9,560.6,469.6,511.1,363.4,603.7,0.14,0.12,290,547,846,1,0.13,0.002166667,33.91893844,
TAGU,3,,,6/24/2019,9:00,5.2,5.1,5.3,5.2,20,27.5,25,24.16666667,150,18.1,0.879333333,19.98,8.38,444.9,515.3,467.5,568.8,346.5,570.4,0.131,0.097,444,718,1090,1,0.114,0.0019,31.11239613,
MAGU,1,,,6/24/2019,9:18,7.4,7.4,6.8,7.2,25,20,27.5,24.16666667,150,51.9,0.654,26.63,6.018,573.8,436.4,465.3,483.7,149.8,518,0.247,0.125,257,403,691,1,0.186,0.0031,37.7542428,
CRFL,1,,,6/24/2019,9:36,11.4,13.9,12.3,12.53333333,67.5,67.5,72.5,69.16666667,150,11.9,0.920666667,66.58,30.01,567.6,552.4,731.2,603.6,602,739.3,0.277,0.33,110,240,349,1,0.3035,0.005058333,86.72337819,
COLA,1,,,6/24/2019,9:52,3.6,3.5,3.6,3.566666667,22.5,17.5,22.5,20.83333333,150,63.2,0.578666667,8.88,4.347,462.3,264.3,451.2,420.7,176.5,500.7,0.093,0.146,325,713,959,1,0.1195,0.001991667,21.46206191,
MAEL,2,,,6/24/2019,10:15,5,4.8,4.4,4.733333333,52.5,47.5,55,51.66666667,150,18.3,0.878,26.63,14.99,430.5,280.2,522.5,371.7,350.6,579.2,0.199,0.235,224,405,558,1,0.217,0.003616667,59.13291953,
MISE,1,,yes,6/24/2019,10:32,7.8,8.2,7,7.666666667,0,0,0,0,150,133.8,0.108,0,0.098,30.43,26.21,24.56,26.24,24.56,30.4,0,0,0,0,0,1,0,0,0,1:34:18 IS LAST TIME
MYUM,1,,,6/24/2019,10:47,4,3.8,3.6,3.8,25,20,11,18.66666667,150,29.6,0.802666667,13.32,5.174,458.5,447.4,323.1,482.6,259.6,512.1,0.091,0.069,402,797,1322,1,0.08,0.001333333,19.92967822,
MYLI,2,,,6/24/2019,11:07,9.1,9,7.4,8.5,42.5,35,35,37.5,150,28.9,0.807333333,35.51,13.87,514,500.5,501.4,566.8,459.8,634,0.183,0.184,303,500,696,1,0.1835,0.003058333,45.97947674,
VOTU,3,,,6/24/2019,11:21,6.3,6.2,6.7,6.4,25,17.5,20,20.83333333,150,40.1,0.732666667,11.1,5.076,308.6,500.6,487.1,436.6,356,540.5,0.126,0.103,612,898,1246,1,0.1145,0.001908333,26.03676312,
AMIN,3,,,6/24/2019,11:36,12.3,11.8,12.4,12.16666667,72.5,67.5,67.5,69.16666667,150,4.7,0.968666667,59.91,28.55,419.6,508.4,587.5,699.4,491.7,762.3,0.486,0.324,175,249,360,1,0.405,0.00675,121.759947,
OCCO,3,,,6/24/2019,11:49,4.8,4.2,4.2,4.4,27.5,27.5,30,28.33333333,150,60.7,0.595333333,17.75,6.867,418.8,280.6,364,439.7,212,514.1,0.154,0.174,337,571,778,1,0.164,0.002733333,30.30254604,
ROMO,2,,,6/26/2019,8:38,12,11.5,12.1,11.86666667,52.5,40,55,49.16666667,150,4.6,0.969333333,51.06,22.64,580.7,549.6,783.3,690.1,540.8,745.5,0.225,0.242,183,343,492,1,0.2335,0.003891667,70.24818442,
QUGR,3,,,6/26/2019,8:51,8.5,8.1,8.4,8.333333333,32.5,30,37.5,33.33333333,150,18.8,0.874666667,25.53,20.65,509.3,511.7,515,610.8,510.2,641.3,0.178,0.211,237,439,610,1,0.1945,0.003241667,52.80040498,
JACA,3,,,6/26/2019,9:11,4.2,5.1,4.5,4.6,27.5,30,32.5,30,150,60.8,0.594666667,17.75,9.78,313.3,423.5,328.1,444.4,403.4,557.8,0.206,0.164,227,402,621,1,0.185,0.003083333,34.14447156,
ALED,1,,,6/26/2019,9:26,7.6,7.9,7.2,7.566666667,55,60,55,56.66666667,150,9.7,0.935333333,46.61,20.32,492.5,387.5,539,582.8,426.1,674.3,0.396,0.178,157,248,450,1,0.287,0.004783333,83.31503491,
MAEL,3,,,6/26/2019,9:50,4.4,3.9,4.5,4.266666667,30,30,32.5,30.83333333,150,41.1,0.726,26.63,8.42,443.6,350.1,435.7,374.4,246.5,547.5,0.166,0.135,300,517,783,1,0.1505,0.002508333,33.9115931,
MAGU,2,,,6/26/2019,10:05,7,7.7,6.3,7,25,27.5,35,29.16666667,150,37.5,0.75,16.64,12.3,423.7,543.7,492.7,518.3,343,529.4,0.117,0.116,177,485,795,1,0.1165,0.001941667,27.1182875,
SYPU,2,,,6/26/2019,10:21,10.3,9,9.9,9.733333333,47.5,30,32.5,36.66666667,150,28.9,0.807333333,42.17,15.01,427.8,515.9,538.3,519.1,455.2,594.2,0.189,0.165,287,477,695,1,0.177,0.00295,44.35077593,
PLPO,3,,,6/26/2019,10:33,6.8,7.2,7.5,7.166666667,25,37.5,52.5,38.33333333,150,11.6,0.922666667,42.16,20.56,383.5,566.1,535.9,503.1,508.7,631,0.222,0.218,216,378,543,1,0.22,0.003666667,63.00029511,
MYGU,2,,,6/26/2019,10:57,3.7,4.1,3.6,3.8,22.5,27.5,27.5,25.83333333,150,14.8,0.901333333,15.53,11.86,463.9,368.2,565.5,551.8,246,548.6,0.143,0.142,830,1081,1335,1,0.1425,0.002375,39.86349467,
LAHA,1,,,6/26/2019,11:15,7.3,7.2,7.1,7.2,45,45,45,45,150,13.7,0.908666667,37.72,19.56,567,472.7,571.8,464.8,456.8,618.2,0.237,0.191,226,378,566,1,0.214,0.003566667,60.35224671,
PIAX,3,,,6/26/2019,11:35,17.5,16.4,18.2,17.36666667,100,92.5,97.5,96.66666667,150,13,0.913333333,73.23,33.65,760.8,791.3,751.8,766.6,634.9,717.4,0.48,0.563,135,210,274,1,0.5215,0.008691667,147.8286779,
CUVE,2,,,6/26/2019,11:47,10.2,10.6,10.5,10.43333333,85,72.5,70,75.83333333,150,7.1,0.952666667,59.92,27.1,504.3,546.7,595.4,617.1,478.8,680.6,0.563,0.371,122,186,283,1,0.467,0.007783333,138.0806816,
ANFA,1,,,6/26/2019,12:03,4,4.2,4.2,4.133333333,10,12.5,22.5,15,150,98.6,0.342666667,6.657,3.818,312,148.2,564.5,165.2,113.1,472.7,0,0,271,0,654,1,0,0,0,
MYTO,3,,,6/28/2019,8:26,6,6.3,6.4,6.233333333,30,25,35,30,150,16.2,0.892,17.75,11.21,502.7,449.1,511.6,378.3,350,557.8,0.173,0.149,352,560,802,1,0.161,0.002683333,44.57237773,
ZETU,2,,yes,6/28/2019,8:50,22.5,22.4,19.6,21.5,125,132.5,117.5,125,150,9.7,0.935333333,68.8,31.98,631.4,645.9,797.6,697.7,634.7,691.1,1.636,0.837,77,99,142,1,1.2365,0.020608333,358.9513612,
CAGU,1,,,6/28/2019,9:02,12.5,11.7,10.6,11.6,50,57.5,60,55.83333333,150,9.1,0.939333333,59.92,20.67,395.1,320.5,379,614.4,461,657,0.185,0.237,131,326,478,1,0.211,0.003516667,61.51446642,
ROMO,3,,,6/28/2019,9:16,9.5,10.2,9.8,9.833333333,45,50,42.5,45.83333333,150,5.1,0.966,31.07,22.03,565.4,574.2,656.8,631,489.6,710.2,0.225,0.182,268,428,626,1,0.2035,0.003391667,61.0121897,
ALED,3,,,6/28/2019,9:30,10.4,10.5,10.5,10.46666667,57.5,65,80,67.5,150,7.8,0.948,59.92,31.24,368,489.3,613.2,673.5,593.1,752.4,0.409,0.456,146,234,313,1,0.4325,0.007208333,127.253437,
MYGU,3,,,6/28/2019,9:45,5.5,4.5,3.8,4.6,32.5,30,30,30.83333333,150,39.2,0.738666667,22.19,10.01,521.9,448.4,473.3,529.2,292.1,576.2,0.131,0.106,282,556,897,1,0.1185,0.001975,27.16701507,
CUVE,3,,,6/28/2019,10:05,13.6,14.4,14.1,14.03333333,70,75,95,80,150,8.4,0.944,68.79,32.15,495.3,640.9,608.8,695.7,543.2,737.3,0.667,0.419,119,173,259,1,0.543,0.00905,159.0914704,
SCVI,2,,,6/28/2019,10:19,7.1,7.3,6.9,7.1,67.5,55,65,62.5,150,7.9,0.947333333,54.37,27.15,553.4,583.7,626.2,502.3,491.1,667.3,0.238,0.35,115,266,369,1,0.294,0.0049,86.44208253,
ZEMO,2,,,6/28/2019,10:33,11.9,11,12.1,11.66666667,85,85,80,83.33333333,150,5.1,0.966,82.1,27.17,588.3,562,588.4,608.4,584.4,744.2,0.462,0.396,98,176,267,1,0.429,0.00715,128.6202918,
GOBA,3,,,6/28/2019,10:45,11.8,13.3,11.9,12.33333333,67.5,77.5,90,78.33333333,150,5.6,0.962666667,73.23,31.26,423.5,505.2,665.3,586.7,628.3,727.8,0.537,0.383,139,206,300,1,0.46,0.007666667,137.4386364,
CABR,3,,,6/28/2019,11:01,6.5,6.4,7,6.633333333,27.5,32.5,27.5,29.16666667,150,12.8,0.914666667,33.28,11.33,588.1,510.6,392,458.7,443.5,606.5,0.155,0.144,350,583,833,1,0.1495,0.002491667,42.44036564,
NECU,3,,,6/28/2019,11:16,10.8,10.5,11.5,10.93333333,70,65,70,68.33333333,150,14.4,0.904,64.35,23.97,493.7,524,525.6,582.3,464.9,669,0.308,0.298,127,244,365,1,0.303,0.00505,85.0131544,
CAAD,3,,,6/28/2019,11:27,5.4,5.8,5.5,5.566666667,35,37.5,40,37.5,150,7.2,0.952,39.94,19.28,475,503.8,559.8,447.8,490.3,607.7,0.186,0.188,240,434,626,1,0.187,0.003116667,55.25271547,
CRFL,2,,,7/1/2019,8:32,11.2,11.5,10.9,11.2,60,55,62.5,59.16666667,150,11.6,0.922666667,55.5,26.97,500.5,466.1,603.6,629.2,490.1,677.6,0.22,0.217,167,331,497,1,0.2185,0.003641667,62.57074764,
MAGU,3,,,7/1/2019,8:47,8.5,7.9,8.2,8.2,30,25,32.5,29.16666667,150,39,0.74,17.76,6.057,499.8,479.8,452.7,373.8,218.9,544.5,0.19,0.164,158,347,567,1,0.177,0.00295,40.651826,
COLA,2,,,7/1/2019,9:12,3,3.1,2.7,2.933333333,10.5,8,0,6.166666667,150,102.3,0.318,11.1,1.573,226.2,200,34.86,404.3,67.88,470.1,0.073,0,663,1155,0,1,0.0365,0.000608333,3.6024259,"50% BURNED, NO ROS2, NO FLAT HEAT FLUX"
SCVI,3,,,7/1/2019,9:31,5.5,6.1,5.9,5.833333333,60,50,70,60,150,8.7,0.942,46.61,23.64,417.1,517.2,598.7,577,512.4,637.1,0.273,0.194,175,307,493,1,0.2335,0.003891667,68.2673209,
MYUM,2,,,7/1/2019,9:45,6.1,5.1,5.5,5.566666667,27.5,30,30,29.16666667,150,14.3,0.904666667,26.63,13.61,487.7,597.2,686.6,531,448.6,630.9,0.099,0.139,236,599,858,1,0.119,0.001983333,33.41262696,
CASYs,2,,,7/1/2019,10:03,5.2,6.1,6.3,5.866666667,35,35,45,38.33333333,150,42.9,0.714,26.63,9.87,560.7,525.7,564,451.3,290.1,521.7,0.174,0.17,195,402,614,1,0.172,0.002866667,38.1155096,
ANFA,2,,,7/1/2019,10:20,3,3.3,3.2,3.166666667,22.5,27.5,30,26.66666667,150,81.3,0.458,17.75,9.36,380.7,550.6,515.5,536.3,438.7,562.6,0.286,0.2,196,322,502,1,0.243,0.00405,34.5419478,
ZETU,3,,yes,7/1/2019,10:40,15.1,15.9,18.3,16.43333333,90,110,90,96.66666667,150,10.1,0.932666667,68.79,28.09,676.7,738.4,554.8,723.8,484.5,696.1,0.783,0.621,102,148,206,1,0.702,0.0117,203.2069884,
MAAC,1,,,7/1/2019,10:57,5.3,6.3,4.9,5.5,55,47.5,45,49.16666667,150,45.1,0.699333333,31.07,11.39,662.4,458.3,531.9,556.6,334.1,571.8,0.2,0.252,640,820,963,1,0.226,0.003766667,49.05324476,
PIRO,2,,,7/1/2019,11:11,15.5,15,12.5,14.33333333,82.5,75,80,79.16666667,150,19,0.873333333,82.1,33.33,626.8,637.2,726.3,684,717.3,722.2,0.444,0.293,177,258,381,1,0.3685,0.006141667,99.88323522,
LEEL,1,,,7/1/2019,11:23,4.6,5.3,4.8,4.9,30,30,32.5,30.83333333,150,55.9,0.627333333,26.63,11.84,657.3,544.4,653.4,581.2,480.6,514.9,0.179,0.147,192,393,638,1,0.163,0.002716667,31.73664696,
QUMU,3,,,7/1/2019,11:38,7,7.5,8,7.5,25,30,35,30,150,25.4,0.830666667,15.53,11.43,481,449.8,591.3,387,342.5,618.5,0.157,0.161,328,557,781,1,0.159,0.00265,40.99198787,
MYMU,1,,,7/3/2019,8:51,3.3,3.1,3.3,3.233333333,10.5,0,0,3.5,150,121.4,0.190666667,2.219,0.315,370.4,30.79,22.4,29.95,29.11,52.22,0,0,704,0,0,1,0,0,0,
BARU,1,,,7/3/2019,9:11,8.6,11,11.3,10.3,45,45,60,50,150,9.1,0.939333333,51.04,19.85,359.9,463.8,650.2,697,490.2,719.8,0.4,0.3,192,282,402,1,0.35,0.005833333,102.0382144,
LUGR,1,,,7/3/2019,9:27,13.8,12.7,11.6,12.7,57.5,57.5,70,61.66666667,150,6.5,0.956666667,66.58,26.46,618.4,637.7,635.3,685.4,628.9,716.9,0.346,0.356,157,261,362,1,0.351,0.00585,104.218023,
CAGU,2,,,7/3/2019,9:40,8.9,8.8,8.7,8.8,42.5,45,45,44.16666667,150,10.1,0.932666667,29.96,17.13,419.5,514.8,508.5,630,393.8,633.2,0.197,0.18,196,379,579,1,0.1885,0.003141667,54.56483948,
ASTO,2,,,7/3/2019,9:55,10.1,9.4,8.5,9.333333333,72.5,82.5,92.5,82.5,150,9.4,0.937333333,42.17,32.21,562.1,603.7,613.4,633.4,563.7,732.9,0.263,0.429,130,267,351,1,0.346,0.005766667,100.6572897,
AESE,3,,,7/3/2019,10:11,18.8,21,18.9,19.56666667,95,110,125,110,150,7.6,0.949333333,75.45,29.31,619.2,716.1,773.5,695,552.8,673.1,0.947,0.923,94,132,171,1,0.935,0.015583333,275.4897298,
COLA,3,,,7/3/2019,10:23,3.8,4.2,3.9,3.966666667,32.5,27.5,35,31.66666667,150,57.8,0.614666667,19.97,7.299,511.5,405.7,344.3,487.5,272.9,541.8,0.197,0.127,248,431,715,1,0.162,0.0027,30.9050712,
PRHE,3,,,7/3/2019,10:46,10.2,8,9.5,9.233333333,47.5,47.5,50,48.33333333,150,26.9,0.820666667,29.96,27.15,500.2,491.5,507.5,459.5,525.1,588.9,0.277,0.333,135,265,373,1,0.305,0.005083333,77.68581122,
CRFL,3,,,7/3/2019,11:01,13.2,12.3,12.4,12.63333333,70,70,67.5,69.16666667,150,12,0.92,66.57,24.93,461,512.2,541.7,608.9,529.7,640.1,0.343,0.327,111,216,326,1,0.335,0.005583333,95.65500667,
CASYs,3,,,7/3/2019,11:18,4.2,4.1,4.1,4.133333333,32.5,25,30,29.16666667,150,58,0.613333333,13.31,5.018,517,366.8,412.9,395.1,197.1,513.8,0.143,0.13,233,485,762,1,0.1365,0.002275,25.98389733,
ANFA,3,,,7/3/2019,11:35,3.5,4.9,4.5,4.3,30,30,42.5,34.16666667,150,79.3,0.471333333,17.75,9.74,345.5,366.6,571.1,415.1,258.5,520,0.439,0.35,151,233,336,1,0.3945,0.006575,57.70988837,
AEVE,2,,,7/3/2019,11:49,11.3,11.4,10.8,11.16666667,70,75,85,76.66666667,150,9.1,0.939333333,75.45,29.85,539.6,479.8,680,618.8,553.2,706.8,0.319,0.419,84,197,283,1,0.369,0.00615,107.5774318,
XYAR,1,,,7/5/2019,8:44,7.8,8.5,7.1,7.8,50,50,65,55,150,12.1,0.919333333,55.49,22.32,474.1,523.6,609.9,581.1,456.5,587.5,0.252,0.202,221,364,542,1,0.227,0.003783333,64.77000584,
FAMO,1,,yes,7/5/2019,9:00,11.8,12.3,13.9,12.66666667,60,57.5,57.5,58.33333333,150,15.6,0.896,51.05,24.39,544.7,560.7,493.6,662.5,496,661.6,0.375,0.229,184,280,437,1,0.302,0.005033333,83.98273707,
BYLA,1,,,7/5/2019,9:13,7.2,8.2,7.1,7.5,50,50,60,53.33333333,150,9.2,0.938666667,44.39,23.86,554.6,533.9,673.3,582.6,580.2,635.5,0.2,0.237,262,442,594,1,0.2185,0.003641667,63.65578951,
ALED,2,,yes,7/5/2019,9:31,9.4,7.6,8.2,8.4,50,52.5,62.5,55,150,7.4,0.950666667,46.61,23.31,508.6,610.9,539,559.7,531,649.4,0.336,0.202,142,249,427,1,0.269,0.004483333,79.36986076,
STPO,1,,yes,7/5/2019,9:45,7.5,9.6,7.4,8.166666667,50,55,67.5,57.5,150,8.9,0.940666667,44.39,22.36,487.4,588.8,600,449,449,649.7,0.279,0.237,175,304,456,1,0.258,0.0043,75.32350707,
ANCR,1,,,7/5/2019,10:00,5.8,5.9,6.5,6.066666667,35,32.5,32.5,33.33333333,150,8.4,0.944,39.95,15.42,536.2,488.3,486,515.5,416.2,582.5,0.167,0.151,251,466,704,1,0.159,0.00265,46.5847952,
BARU,2,,,7/5/2019,10:16,8,7.5,8.1,7.866666667,45,40,42.5,42.5,150,9.4,0.937333333,38.84,19.65,632.3,577.9,644.4,547.5,422.8,692,0.183,0.168,220,417,631,1,0.1755,0.002925,51.0559374,
OUSP,1,,,7/5/2019,10:31,5.2,5.6,6,5.6,30,32.5,45,35.83333333,150,5.9,0.960666667,22.19,19.35,462.9,458.1,566.8,467.7,352.6,591.5,0.151,0.211,249,488,659,1,0.181,0.003016667,53.96676291,
ANCA,1,,,7/5/2019,10:50,13,12.5,11,12.16666667,50,72.5,65,62.5,150,14.1,0.906,58.81,27.58,499.7,526.8,664.6,629.2,595.5,696.9,0.514,0.367,230,300,398,1,0.4405,0.007341667,123.8651641,
TAAU,3,,,7/5/2019,11:03,6.5,5.8,7,6.433333333,52.5,32.5,40,41.66666667,150,9.1,0.939333333,46.61,20.65,597.1,618,642,614.7,528.5,688.8,0.263,0.212,211,348,518,1,0.2375,0.003958333,69.24021694,
KICO,3,,,7/5/2019,11:17,7.5,8.5,8.1,8.033333333,62.5,45,42.5,50,150,3.9,0.974,53.26,19.22,546.1,614,645.3,570.8,552.4,708.4,0.221,0.228,173,336,494,1,0.2245,0.003741667,67.86570643,
PORA,1,,,7/5/2019,11:29,9.5,10.5,9.6,9.866666667,57.5,55,62.5,58.33333333,150,8.7,0.942,48.83,26.34,471.1,554.1,574.9,598.9,562.1,625.3,0.305,0.34,210,328,434,1,0.3225,0.005375,94.2878415,
SYRE,1,,yes,7/5/2019,11:47,6.8,7.9,6,6.9,27.5,35,30,30.83333333,150,34.6,0.769333333,24.41,10.41,535,447.1,564.6,373,390.8,558.2,0.159,0.1,450,676,1036,1,0.1295,0.002158333,30.92141718,
FAMO,2,,yes,7/8/2019,8:40,11.9,12.5,11,11.8,67.5,62.5,65,65,150,13.4,0.910666667,73.27,25.8,468.4,574.7,667.8,667.8,606.7,672.6,0.391,0.257,267,359,499,1,0.324,0.0054,91.5755472,
ERGR,1,,,7/8/2019,8:54,7.2,6.8,6.1,6.7,27.5,35,32.5,31.66666667,150,12.5,0.916666667,26.64,13,393.2,425.4,548.6,507,390,602.1,0.225,0.129,375,535,815,1,0.177,0.00295,50.35699167,
OUSP,2,,,7/8/2019,9:09,4.6,5.1,5.1,4.933333333,25,27.5,30,27.5,150,8.8,0.941333333,26.64,10.54,255.3,370,581.6,412,280.2,594.3,0.157,0.155,383,612,845,1,0.156,0.0026,45.57672427,FLAME DURATION TIME IS BAD
ANCA,2,,,7/8/2019,9:27,13.5,14.1,14,13.86666667,75,72.5,82.5,76.66666667,150,12.1,0.919333333,66.6,30.07,611.3,595.3,630.6,670,584.1,730.9,0.554,0.387,133,198,291,1,0.4705,0.007841667,134.2479637,
ANCR,2,,,7/8/2019,9:58,5,6.4,5.5,5.633333333,35,32.5,37.5,35,150,7.5,0.95,23.31,10.38,449.4,579.6,547,484.6,372.2,641.4,0.183,0.122,286,483,778,1,0.1525,0.002541667,44.96437083,ENDS AT 10:07 WAS NOT UNPLUGGED
SYRE,2,,yes,7/8/2019,10:14,6.4,6.7,6.5,6.533333333,32.5,37.5,42.5,37.5,150,31.8,0.788,26.64,18.88,510.1,571.6,598.1,582,416.5,570,0.161,0.187,248,471,664,1,0.174,0.0029,42.5549944,
PORA,2,,,7/8/2019,10:26,11.5,10.4,10.5,10.8,65,62.5,75,67.5,150,7.3,0.951333333,62.16,30.74,498.8,627.4,596.2,665.3,532.3,735.9,0.655,0.336,188,243,350,1,0.4955,0.008258333,146.3023981,
STPO,2,,yes,7/8/2019,10:39,8,7.3,7.6,7.633333333,57.5,57.5,57.5,57.5,150,7.7,0.948666667,38.84,22.44,628.2,477.2,589.8,456.4,484.4,677.3,0.235,0.333,175,328,436,1,0.284,0.004733333,83.61940116,
XYAR,2,,,7/8/2019,10:54,8.3,8.3,7.9,8.166666667,62.5,52.5,62.5,59.16666667,150,9.6,0.936,47.72,27.57,423.4,529,551.3,658.7,479.4,670.7,0.288,0.245,177,302,449,1,0.2665,0.004441667,77.4191028,
BYLA,2,,,7/8/2019,11:08,7.5,8.2,8.3,8,55,52.5,62.5,56.66666667,150,8.3,0.944666667,62.14,21.73,509.7,564.7,594.4,494.5,508.9,655.3,0.248,0.271,161,306,439,1,0.2595,0.004325,76.08359503,
LAHA,2,,,7/8/2019,11:24,6,6.3,8.5,6.933333333,55,57.5,57.5,56.66666667,150,12.3,0.918,48.83,23.17,486.4,384.5,562.3,591,495.2,635.1,0.206,0.277,163,338,468,1,0.2415,0.004025,68.8073589,25 GRAMS OF LAHA BONUS ADDED
MYUM,3,,,7/8/2019,11:38,6,6.3,8.5,6.933333333,60,47.5,40,49.16666667,150,8.4,0.944,47.72,23.31,527.7,590,586.8,620.4,588.4,621.2,0.177,0.161,161,364,588,1,0.169,0.002816667,49.51465653,
TEGL,3,,,7/10/2019,8:42,11.1,10.4,10.8,10.76666667,10,42.5,47.5,33.33333333,150,9.1,0.939333333,26.64,18.13,337.4,282.6,479.3,595.9,370.8,645.6,0.182,0.34,310,508,614,1,0.261,0.00435,76.0913542,
ERGR,2,,,7/10/2019,8:57,6.1,5.2,4.8,5.366666667,27.5,30,27.5,28.33333333,150,17.7,0.882,17.76,10.52,574.4,457.9,421,524.2,294.3,607.2,0.151,0.119,364,603,906,1,0.135,0.00225,36.955359,
OCPU,1,,,7/10/2019,9:13,3.1,3.4,3.4,3.3,9,0,0,3,150,121.6,0.189333333,6.66,0.551,337.1,49.78,22.27,53.13,36.52,297.1,0,0,566,0,0,1,0,0,0,
SYPU,3,,,7/10/2019,9:25,7,7.5,6.8,7.1,22.5,25,25,24.16666667,150,42.9,0.714,13.32,7.238,470.7,364.6,478.8,354.8,200.8,558.6,0.124,0.131,594,884,1158,1,0.1275,0.002125,28.2542295,
