Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Stryphnodendron rotundifolium,STRO,2,RR10508,50.68,2.57,0.099,0.333,0.331,0.189,102,85,
Stryphnodendron rotundifolium,STRO,3,RR10509,51.92,2.37,0.089,0.330,0.694,0.234,114,109,
Symplocos pubescens,SYPU,1,RR10510,45.11,1.63,0.098,0.511,0.339,0.227,78,11319,
Symplocos pubescens,SYPU,2,RR10511,47.01,1.48,0.081,0.390,0.412,0.221,98,8136,
Symplocos pubescens,SYPU,3,RR10512,45.57,1.65,0.090,0.546,0.415,0.254,97,11490,
Tabernaemontana catharinensis,TACA,1,RR10513,48.76,2.62,0.132,0.488,0.761,0.393,101,340,
Tabernaemontana catharinensis,TACA,2,RR10514,48.27,2.35,0.121,0.466,0.783,0.452,82,283,
Tabernaemontana catharinensis,TACA,3,RR10515,47.49,2.22,0.105,0.863,0.744,0.401,140,301,
Tapirira guianensis,TAGU,1,RR10516,46.43,1.28,0.085,0.504,1.427,0.355,75,76,
Tapirira guianensis,TAGU,2,RR10517,46.09,1.08,0.123,1.128,0.793,0.315,65,63,
Tapirira guianensis,TAGU,3,RR10518,48.52,1.37,0.091,0.826,0.682,0.224,85,89,
Tabebuia ochracea,TAOC,1,RR10519,48.48,1.16,0.057,0.212,0.923,0.282,75,110,
Tabebuia ochracea,TAOC,2,RR10520,47.65,1.53,0.096,0.698,0.691,0.262,126,212,
Tabebuia ochracea,TAOC,3,RR10521,46.51,1.45,0.093,0.711,1.303,0.280,78,119,
Terminalia glabrescens,TEGL,1,RR10522,48.39,1.82,0.136,1.030,0.500,0.205,76,77,
Terminalia glabrescens,TEGL,2,RR10523,44.01,1.16,0.070,0.403,0.638,0.279,129,207,
Terminalia glabrescens,TEGL,3,RR10524,44.40,1.01,0.063,0.445,0.512,0.174,117,149,
Tocoyena formosa,TOFO,1,RR10525,50.52,1.04,0.043,0.124,1.192,0.334,275,357,
Tocoyena formosa,TOFO,2,RR10526,48.94,1.12,0.051,0.459,0.590,0.224,602,673,
Tocoyena formosa,TOFO,3,RR10527,50.22,1.19,0.053,0.393,0.473,0.198,588,665,
Vochysia tucanorum,VOTU,1,RR10528,38.55,1.59,0.065,0.423,0.701,0.244,55,34890,
Vochysia tucanorum,VOTU,2,RR10529,38.89,1.47,0.058,0.560,1.181,0.310,76,26066,
Vochysia tucanorum,VOTU,3,RR10530,45.21,1.42,0.068,0.606,0.340,0.158,133,1663,
Zanthoxylum rhoifolium,ZARH,1,RR10596,47.14,2.25,0.107,1.029,0.918,0.284,128,140,
Zanthoxylum rhoifolium,ZARH,2,RR10597,46.80,2.38,0.117,1.192,0.762,0.368,150,149,
Zanthoxylum rhoifolium,ZARH,3,RR10598,48.31,2.87,0.136,1.663,0.449,0.239,128,145,
Zeyheria montana,ZEMO,1,RR10531,49.26,1.86,0.111,0.689,0.399,0.237,171,232,
Zeyheria montana,ZEMO,2,RR10532,51.27,1.61,0.071,0.185,0.437,0.196,141,166,
Zeyheria montana,ZEMO,3,RR10533,50.64,1.31,0.062,0.185,0.328,0.280,105,135,
,,,,,,,,,,,,
,,,,,,,,,,,,
