Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Copaifera langsdorffii,COLA,3,RR10365,49.54,1.68,0.097,0.215,0.393,0.218,111,121,
Connarus suberosus,COSU,1,RR10553,47.42,1.50,0.067,0.404,0.395,0.077,97,105,
Connarus suberosus,COSU,2,RR10554,48.20,1.41,0.067,0.404,0.332,0.088,121,132,
Connarus suberosus,COSU,3,RR10555,48.53,1.25,0.069,0.379,0.630,0.063,110,124,
Cupania tenuivalvis,CUTE,1,RR10556,48.82,2.62,0.110,1.290,0.329,0.126,170,179,
Cupania tenuivalvis,CUTE,2,RR10557,49.26,2.41,0.118,1.060,0.510,0.288,223,282,
Cupania tenuivalvis,CUTE,3,RR10558,47.89,3.06,0.138,0.962,0.506,0.253,166,183,
Cupania vernalis,CUVE,1,RR10366,50.08,2.03,0.098,0.688,0.579,0.265,127,118,
Cupania vernalis,CUVE,2,RR10367,48.31,2.00,0.115,1.564,0.713,0.403,276,277,
Cupania vernalis,CUVE,3,RR10368,48.37,2.03,0.101,1.245,0.451,0.319,196,230,
Davilla elliptica,DAEL,1,RR10559,38.37,1.23,0.063,0.255,0.634,0.153,78,152,
Davilla elliptica,DAEL,2,RR10560,36.81,1.11,0.063,0.274,0.677,0.154,151,245,
Davilla elliptica,DAEL,3,RR10561,39.02,1.14,0.056,0.244,0.561,0.161,142,258,
Daphnopsis racemosa,DARA,1,RR10369,44.97,2.24,0.111,0.481,0.678,0.272,127,131,
Daphnopsis racemosa,DARA,2,RR10370,44.08,2.00,0.105,0.458,0.481,0.291,135,149,
Daphnopsis racemosa,DARA,3,RR10371,45.24,2.25,0.113,0.441,0.431,0.242,167,172,
Diospyros hispida,DIHI,1,RR10372,49.62,1.14,0.062,0.691,0.812,0.291,93,147,bottle reads DIBU
Diospyros hispida,DIHI,2,RR10373,50.87,1.26,0.058,0.288,0.704,0.309,56,65,
Diospyros hispida,DIHI,3,RR10374,51.09,1.26,0.057,0.255,0.734,0.314,67,75,
Dimorphandra mollis,DIMO,1,RR10562,51.76,3.19,0.080,0.319,0.255,0.138,111,107,
Dimorphandra mollis,DIMO,2,RR10563,51.40,3.47,0.080,0.293,0.225,0.116,111,97,
Dimorphandra mollis,DIMO,3,RR10564,51.48,3.47,0.103,0.386,0.193,0.151,132,129,
Duguetia furfuracea,DUFU,1,RR10375,48.12,1.79,0.079,0.240,0.377,0.129,74,58,
Duguetia furfuracea,DUFU,2,RR10376,48.10,1.64,0.066,0.195,0.407,0.098,127,131,
Duguetia furfuracea,DUFU,3,RR10377,47.78,1.91,0.077,0.179,0.586,0.149,77,73,
Erythroxylum cunneifolium,ERCU,1,RR10565,45.98,2.02,0.100,0.627,0.588,0.352,75,65,
Erythroxylum cunneifolium,ERCU,2,RR10566,47.68,2.27,0.116,0.292,0.370,0.283,70,63,
