IndCode,LeafNum,L,W,H,Comments,,
STPO3,2,10.78,3.91,1.68,,,
STCA3,4,11.01,3.55,1.68,,,
MAEL1,2,7.85,1.96,1.67,,,
PLPO1,5,7.56,4.70,1.67,,,
BALO1,3,12.27,4.11,1.67,,,
MYFE3,2,9.47,1.41,1.67,,,
CAAD3,1,8.85,3.01,1.66,,,
ZEMO3,2,13.80,3.46,1.66,,,
DAFA1,4,12.21,1.65,1.66,,,
ERTO3,2,11.36,2.83,1.66,,,
BALO1,5,9.34,6.46,1.66,,,
POTO5,5,23.50,10.80,1.65,,,
MIAL1,4,12.25,5.50,1.65,,,
PRHE1,5,12.14,1.75,1.65,,,
DUFU3,1,12.79,4.79,1.65,,,
LAHA1,1,7.89,3.05,1.65,,,
SYPU3,4,9.07,3.92,1.65,,,
ERTO3,5,10.98,1.85,1.65,,,
DAFA2,2,8.44,0.58,1.65,,,
GUNI3,5,8.39,2.24,1.65,,,
TEGL2,5,8.63,3.77,1.64,,,
PRHE1,1,12.60,1.80,1.64,,,
ANCR1,2,7.05,3.63,1.64,,,
MYTO2,4,9.82,3.13,1.63,,,
CABR3,5,11.21,7.49,1.63,,,
TAAU3,3,10.21,3.06,1.63,,,
BARU2,2,8.45,7.45,1.63,,,
MYUM3,4,14.30,4.60,1.63,,,
LUGR3,5,10.47,7.11,1.63,,,
SIGU3,5,12.91,6.52,1.62,,,
QUGR3,2,10.15,7.09,1.62,,,
KICO3,4,11.23,4.07,1.62,,,
ANCR2,3,11.71,5.96,1.62,,,
GOBA1,4,11.88,5.00,1.61,,,
SIGU3,4,9.90,6.16,1.61,,,
PIAX3,3,18.30,7.80,1.61,,,
QUMU3,2,9.56,2.80,1.61,,,
FAMO3,1,12.73,3.31,1.61,,,
SIGU1,4,13.00,4.60,1.60,,,
MISE1,3,8.30,2.41,1.60,,,
ERGR3,3,7.39,3.58,1.60,,,
MYGU1,1,11.26,6.38,1.59,,,
DIBU1,1,11.71,7.88,1.59,,,
PORA1,3,12.41,4.47,1.59,,,
OUSP2,3,9.71,4.69,1.59,,,
ANCA1,5,16.30,4.06,1.58,,,
FAMO1,1,8.75,3.10,1.58,,,
CAGU3,5,9.40,3.79,1.58,,,
OCCO2,1,9.30,1.91,1.57,,,
MIAL1,3,8.35,3.42,1.57,,,
CUVE2,5,14.67,3.46,1.57,,,
CAGU1,3,10.27,3.46,1.57,,,
BYLA1,3,10.83,2.94,1.57,,,
ANCR2,1,9.52,4.34,1.57,,,
ANCR2,5,11.22,6.11,1.57,,,
SYRE3,5,8.33,3.20,1.57,,,
NECU1,2,13.78,3.02,1.56,,,
PRHE1,4,15.06,2.47,1.56,,,
STCA1,2,10.78,2.29,1.56,,,
STCA2,5,9.40,3.38,1.56,,,
OCMI1,3,10.23,3.10,1.56,,,
GOBA1,5,10.50,1.09,1.55,,,
GUNI1,2,12.40,3.00,1.55,,,
GOBA2,3,10.43,5.83,1.55,,,
ERDE1,5,9.80,3.32,1.55,,,
CASYf3,4,7.50,2.08,1.55,,,
ERDE3,4,6.40,3.01,1.54,,,
CAGU1,1,8.39,4.58,1.54,,,
MYTO3,2,6.97,3.42,1.54,,,
PORA1,2,13.13,4.65,1.54,,,
GUNI2,2,8.12,1.78,1.54,,,
GUNI3,1,12.22,1.96,1.54,,,
BYLA2,5,11.18,3.98,1.53,,,
STCA2,3,7.63,1.74,1.53,,,
BYLA3,4,9.66,2.29,1.53,,,
NECU2,1,13.86,1.57,1.52,,,
HEAP1,2,6.54,1.84,1.52,,,
BARU3,2,10.77,10.48,1.52,,,
PRHE3,1,10.52,3.02,1.51,,,
OCPU1,4,6.35,3.85,1.51,,,
VOTU2,4,8.84,2.77,1.50,,,
CRFL2,1,7.74,4.15,1.50,,,
FAMO1,3,13.57,4.32,1.50,,,
ANCR1,1,9.73,5.68,1.50,,,
TEGL3,2,10.73,4.54,1.50,,,
MISE3,3,8.51,1.85,1.50,,,
XYAR3,5,12.14,2.42,1.50,,,
CASYf2,4,8.30,1.55,1.49,,,
MYTO2,5,7.77,2.93,1.49,,,
PRHE2,1,10.74,3.93,1.49,,,
MYUM3,5,12.30,3.80,1.49,,,
STCA1,1,10.97,5.05,1.49,,,
BALO2,5,9.40,6.94,1.49,,,
VOTU1,2,10.20,2.35,1.48,,,
QUMU1,4,9.93,1.48,1.48,,,
NECU3,5,17.50,1.53,1.48,,,
CABR3,3,7.55,6.30,1.48,,,
OUSP1,5,10.52,4.87,1.48,,,
OUSP2,1,8.67,3.63,1.48,,,
OCPU1,2,6.26,3.59,1.48,,,
STCA3,3,9.67,4.67,1.48,,,
GOBA2,1,10.70,2.93,1.47,,,
TEGL3,1,10.77,3.98,1.47,,,
MYGU1,2,9.79,3.87,1.46,,,
POTO3,3,16.50,7.30,1.46,,,
BARU1,1,12.96,10.82,1.46,,,
PRHE3,5,11.14,4.01,1.46,,,
OCCO1,3,7.66,1.87,1.45,,,
ERTO2,1,11.87,4.53,1.45,,,
CRFL2,4,7.71,2.91,1.45,,,
ANCR3,5,9.81,5.29,1.45,,,
SYPU2,1,7.67,2.59,1.44,,,
XYAR2,3,12.30,3.12,1.44,,,
XYAR2,5,10.84,2.89,1.44,,,
AEVE3,5,16.30,4.80,1.43,,,
QUMU1,1,8.25,3.10,1.43,,,
LAHA2,4,7.03,2.36,1.43,,,
SYRE2,1,8.82,3.53,1.43,,,
BARU3,5,7.55,7.83,1.43,,,
PRHE2,2,9.03,2.85,1.42,,,
MYUM1,2,9.97,2.88,1.42,,,
LAHA1,5,7.37,2.75,1.42,,,
QUMU3,1,8.23,1.92,1.42,,,
STCA1,5,8.64,1.34,1.42,,,
MISE2,1,6.46,2.57,1.42,,,
CASYf1,2,9.07,1.39,1.41,,,
VOTU1,5,10.55,2.59,1.41,,,
QUMU2,5,7.94,2.11,1.41,,,
MIAL1,2,7.17,3.47,1.41,,,
GOBA2,5,10.96,2.30,1.41,,,
CRFL2,5,8.96,6.35,1.41,,,
LUCA1,5,9.60,4.31,1.41,,,
STFE2,4,7.61,3.02,1.41,,,
CUVE1,4,7.53,2.93,1.40,,,
PEOB2,1,11.16,4.70,1.40,,,
STFE1,2,6.91,2.91,1.40,,,
BALO1,4,9.38,6.71,1.40,,,
MISE3,1,6.65,2.03,1.40,,,
CASYf2,3,8.78,2.48,1.39,,,
OCCO3,2,6.67,2.59,1.39,,,
ROMO3,3,11.34,2.58,1.39,,,
ANCA1,2,14.60,4.56,1.39,,,
ANCR2,4,9.72,4.37,1.39,,,
SYPU3,2,9.66,3.88,1.39,,,
CAAD2,5,7.23,1.91,1.38,,,
GOPO2,3,9.80,3.22,1.38,,,
PLPO3,1,9.24,5.88,1.38,,,
MISE3,2,10.41,2.61,1.38,,,
QUMU2,1,9.80,3.70,1.37,,,
AMIN1,3,11.00,3.07,1.37,,,
DUFU2,3,14.01,4.53,1.37,,,
OCMI2,1,12.42,2.62,1.37,,,
TAOC1,4,11.20,3.52,1.36,,,
MYGU2,5,11.11,5.67,1.35,,,
MYTO3,1,7.87,3.00,1.35,,,
OCPU2,4,5.36,1.71,1.35,,,
MAAC2,5,6.99,1.25,1.34,,,
STPO1,1,9.78,3.29,1.34,,,
BYLA1,4,12.96,3.90,1.34,,,
CAAD2,2,7.03,2.11,1.33,,,
AMIN2,4,10.54,4.49,1.33,,,
MYTO2,1,10.75,3.60,1.33,,,
MISE1,2,9.63,3.42,1.33,,,
ANCR1,3,10.49,6.02,1.33,,,
OUSP1,3,11.11,4.91,1.33,,,
PORA2,1,15.20,5.80,1.33,,,
TACA3,3,8.94,2.14,1.32,,,
DUFU3,2,11.46,3.76,1.32,,,
CABR3,2,11.35,7.81,1.32,,,
ALED2,1,10.19,2.44,1.32,,,
ANCR3,1,10.18,5.08,1.32,,,
SYPU3,5,9.68,3.49,1.32,,,
GUNI3,4,9.86,2.75,1.32,,,
VOTU2,5,8.95,2.78,1.31,,,
CASYs2,1,5.48,1.55,1.31,,,
BYLA2,2,10.12,3.95,1.31,,,
LAHA2,1,8.08,2.47,1.31,,,
OUSP3,3,10.46,4.48,1.31,,,
SYRE3,1,8.04,3.07,1.31,,,
BALO2,4,9.30,7.16,1.31,,,
TACA1,5,7.84,1.87,1.30,,,
OCCO2,2,7.36,1.76,1.30,,,
BYLA3,5,10.54,4.10,1.30,,,
MILI3,5,5.89,1.68,1.30,,,
MAAC2,1,8.74,2.70,1.29,,,
MAAC2,2,7.75,1.49,1.29,,,
MABR2,1,5.83,1.49,1.29,,,
CASYs1,3,8.34,1.81,1.29,,,
MYLI2,3,2.70,2.85,1.29,,,
XYAR2,1,11.84,2.83,1.29,,,
DAFA2,3,13.62,1.97,1.29,,,
TACA1,1,11.14,1.17,1.28,,,
GOPO2,4,10.40,2.46,1.28,,,
OCCO3,3,5.94,2.03,1.28,,,
ALED1,3,13.38,6.27,1.28,,,
BARU2,3,8.37,7.44,1.28,,,
LAHA3,1,8.82,2.22,1.28,,,
TOAC3,1,10.07,1.41,1.26,,,
MABR3,2,6.30,3.09,1.26,,,
SYRE2,3,9.09,2.50,1.26,,,
OUSP3,1,8.21,4.92,1.26,,,
MYFE1,1,11.71,1.68,1.26,,,
SYRE3,2,8.23,1.98,1.26,,,
LEEL2,3,6.00,2.65,1.25,,,
LEEL3,2,5.02,2.57,1.25,,,
QUMU1,3,9.27,3.19,1.25,,,
PEOB2,2,10.14,4.42,1.25,,,
STPO1,3,8.39,3.89,1.25,,,
SYRE1,5,10.01,3.08,1.25,,,
DARA2,5,10.11,1.66,1.25,,,
GOBA1,1,11.61,2.15,1.24,,,
MAGU1,4,6.07,2.50,1.24,,,
CAAD1,3,6.99,1.49,1.23,,,
MILI1,4,6.20,3.13,1.23,,,
SYPU1,1,9.29,2.66,1.23,,,
POTO2,5,14.89,5.73,1.23,,,
OCCO3,1,9.74,1.07,1.23,,,
RALA3,4,5.97,0.33,1.23,,,
GUNI3,2,8.89,2.75,1.23,,,
CASYf2,5,8.41,1.88,1.22,,,
MAEL2,5,7.66,1.87,1.22,,,
OCCO3,5,7.99,1.73,1.22,,,
TEGL3,4,9.87,3.94,1.22,,,
MAAC2,4,8.63,2.41,1.21,,,
MIAL2,4,7.27,3.64,1.21,,,
CAAD3,5,6.25,2.37,1.21,,,
MAAC1,1,7.09,1.67,1.21,,,
SYPU3,3,9.13,2.95,1.21,,,
SYRE3,4,8.61,3.01,1.21,,,
OCMI3,2,9.91,3.36,1.21,,,
PLPO1,3,6.73,4.35,1.20,,,
VOTU2,1,9.95,3.61,1.20,,,
CAGU1,5,9.90,4.09,1.20,,,
BARU2,5,9.75,7.69,1.20,,,
PORA2,4,11.41,4.35,1.20,,,
LAHA2,2,10.14,2.38,1.20,,,
BALO3,4,6.61,5.23,1.20,,,
GOPO2,5,11.20,2.74,1.19,,,
SCVI3,2,13.80,1.32,1.19,,,
QUMU3,4,6.21,2.23,1.19,,,
SYRE1,3,6.76,2.44,1.19,,,
RALA1,3,3.80,0.69,1.19,,,
BYLA3,2,11.86,4.18,1.19,,,
ERGR3,5,9.72,2.92,1.19,,,
BALO3,1,8.53,6.16,1.19,,,
GOPO3,5,11.00,2.84,1.18,,,
CASYs3,4,6.40,1.35,1.18,,,
DARA1,5,12.64,3.11,1.18,,,
LEEL3,3,6.58,2.33,1.17,,,
MIAL3,2,7.41,3.26,1.17,,,
TAGU2,1,6.37,3.31,1.17,,,
PEOB3,2,5.63,2.56,1.17,,,
CUVE3,4,12.96,3.80,1.17,,,
STCA2,2,8.85,3.16,1.17,,,
VOTU2,3,10.27,3.01,1.16,,,
SCVI2,4,12.62,3.72,1.16,,,
MYGU3,5,7.87,1.74,1.16,,,
MYMU2,4,4.85,2.93,1.16,,,
STFE1,1,6.96,2.03,1.16,,,
MAGU1,1,6.66,2.11,1.15,,,
QUMU3,3,9.51,2.71,1.15,,,
DAFA1,2,14.61,1.71,1.15,,,
CAAD3,3,7.19,1.39,1.14,,,
XYAR2,2,11.85,2.89,1.14,,,
MISE3,4,8.86,2.42,1.14,,,
GOPO1,1,10.50,1.69,1.13,,,
CAAD1,2,8.20,1.67,1.13,,,
SIGU1,3,13.50,4.60,1.13,,,
DUFU1,4,10.71,3.57,1.13,,,
CASYf3,5,7.48,1.49,1.13,,,
CUVE2,2,13.56,3.48,1.13,,,
SCVI2,3,10.34,2.35,1.13,,,
CAGU2,4,10.50,4.06,1.13,,,
XYAR1,1,9.25,2.24,1.13,,,
ERGR2,1,9.78,3.06,1.13,,,
ERSU1,5,9.09,3.03,1.12,,,
TACA2,4,7.49,0.85,1.12,,,
BARU1,5,10.25,7.19,1.12,,,
BYIN1,4,5.59,3.00,1.12,,,
DAFA3,1,7.89,1.75,1.12,,,
BALO2,2,6.15,6.34,1.12,,,
MIAL3,3,8.70,3.22,1.11,,,
BYIN2,3,6.10,2.30,1.11,,,
SYRE3,3,7.96,3.34,1.11,,,
XYAR3,1,12.24,3.09,1.11,,,
XYAR3,3,9.02,1.79,1.11,,,
OCCO1,4,5.76,0.74,1.10,,,
HEAP1,1,7.02,1.78,1.10,,,
PRHE2,4,8.55,2.47,1.10,,,
MAEL2,2,7.43,1.95,1.10,,,
MYLI3,5,11.58,3.12,1.10,,,
CHLA1,5,7.54,1.36,1.10,,,
MYFE3,1,6.63,1.11,1.10,,,
LEEL2,1,7.68,3.93,1.09,,,
MAEL1,3,7.34,0.86,1.09,,,
MAAC3,3,6.36,1.47,1.09,,,
GOPO3,3,10.50,4.02,1.09,,,
VOTU2,5,10.40,3.76,1.09,,,
LEEL3,1,7.42,3.20,1.08,,,
MAGU2,5,6.66,2.14,1.08,,,
MAAC1,2,6.21,1.73,1.08,,,
STCA3,2,10.99,4.86,1.08,,,
LEEL2,4,7.33,2.51,1.07,,,
CAAD1,1,6.61,1.86,1.07,,,
ERDE3,3,8.50,3.30,1.07,,,
CASYs2,2,6.50,1.16,1.07,,,
MAAC1,4,7.20,1.90,1.07,,,
XYAR1,2,11.01,2.92,1.07,,,
STFE2,1,6.79,3.82,1.07,,,
MAAC3,4,6.28,1.79,1.06,,,
MABR2,2,3.74,1.90,1.06,,,
MAGL3,3,8.93,0.83,1.06,,,
STFE1,4,8.26,2.01,1.06,,,
KICO2,4,16.80,5.40,1.05,,,
GOPO3,1,10.98,2.57,1.05,,,
TEGL2,4,9.42,3.51,1.05,,,
PEOB2,5,8.69,3.35,1.05,,,
MILI3,4,6.43,2.51,1.05,,,
MABR3,5,6.64,2.78,1.05,,,
MISE1,1,9.95,3.39,1.05,,,
ERGR2,5,7.09,2.94,1.05,,,
OUSP3,2,9.73,5.75,1.05,,,
OCPU3,4,4.70,1.46,1.05,,,
MILI3,3,7.19,2.77,1.04,,,
CASYs1,5,7.11,1.07,1.04,,,
MYGU2,2,11.00,5.47,1.04,,,
PLEL1,3,4.52,1.83,1.03,,,
CAAD2,3,5.99,2.02,1.03,,,
MIAL2,1,12.27,4.52,1.03,,,
PLEL1,5,5.07,1.87,1.02,,,
MITO1,3,7.16,3.21,1.02,,,
TEGL2,3,10.61,4.26,1.02,,,
HEAP1,5,8.26,1.77,1.02,,,
LUCA1,2,12.04,4.94,1.02,,,
VOTU2,3,10.15,2.97,1.01,,,
ZEMO2,1,14.79,2.73,1.01,,,
SCVI3,4,11.97,1.95,1.01,,,
SIGU4,3,9.64,4.63,1.00,,,
STCA3,5,9.95,4.08,1.00,,,
LEEL2,2,6.30,2.44,0.99,,,
PLEL1,1,5.18,1.90,0.99,,,
ERDE1,1,9.70,2.81,0.99,,,
CASYs1,1,8.09,1.99,0.99,,,
BARU1,4,11.05,11.04,0.99,,,
STFE2,3,7.52,4.33,0.99,,,
LEEL3,4,6.60,3.96,0.98,,,
CASYf2,2,6.62,1.22,0.98,,,
CASYs1,4,7.19,1.59,0.98,,,
SYRE2,2,9.75,3.60,0.98,,,
MYMU3,3,6.00,2.48,0.98,,,
CAAD2,4,5.89,1.98,0.97,,,
AMIN1,2,11.98,3.37,0.97,,,
DUFU3,5,12.39,3.87,0.97,,,
MYGU2,1,8.87,4.45,0.97,,,
MITO1,2,9.11,2.70,0.96,,,
CASYs2,4,7.00,1.09,0.96,,,
CASYs2,5,6.91,1.37,0.96,,,
MAAC1,3,5.80,1.53,0.96,,,
MYUM2,5,10.24,2.82,0.96,,,
BYLA1,1,12.73,4.85,0.96,,,
CHLA1,3,7.49,1.54,0.96,,,
DARA1,3,8.84,1.86,0.96,,,
TACA3,4,8.95,0.97,0.95,,,
CASYf3,3,8.13,1.26,0.95,,,
PEOB3,1,8.14,3.53,0.95,,,
MAGL3,1,8.59,1.06,0.95,,,
OCMI1,1,10.22,2.57,0.95,,,
DARA2,2,6.27,1.77,0.95,,,
TEGL2,1,8.85,3.92,0.94,,,
PEOB2,4,8.58,4.01,0.94,,,
CASYs3,3,5.04,1.18,0.94,,,
MYMU1,2,4.36,1.20,0.94,,,
STCA2,4,6.32,1.61,0.94,,,
PLPO2,2,6.15,3.47,0.93,,,
QUMU2,3,7.93,2.85,0.93,,,
MYUM1,1,10.14,2.92,0.93,,,
DAFA3,3,12.41,1.67,0.93,,,
AMIN2,1,10.39,3.71,0.92,,,
VOTU2,4,8.96,2.28,0.92,,,
CAGU1,4,10.58,3.99,0.92,,,
CASYs3,1,4.76,1.78,0.92,,,
BYLA1,5,13.55,4.81,0.92,,,
BALO1,2,9.14,7.71,0.92,,,
OCMI1,5,9.48,2.80,0.92,,,
DUFU3,3,13.44,4.12,0.91,,,
JACA3,5,2.40,0.40,0.91,,,
MAGU2,1,4.63,2.48,0.91,,,
OCMI1,4,9.52,2.07,0.91,,,
CHLA3,1,6.36,0.81,0.91,,,
MAAC3,2,6.86,1.53,0.90,,,
MYGU2,3,10.63,4.85,0.90,,,
LAHA1,2,7.02,2.98,0.90,,,
LEEL1,3,5.69,1.66,0.90,,,
STFE3,5,6.77,3.33,0.90,,,
BALO3,2,9.22,5.18,0.90,,,
SIGU2,1,10.12,3.59,0.89,,,
MIAL3,5,9.77,4.22,0.89,,,
MAGU1,3,6.47,2.08,0.89,,,
BYIN2,2,8.46,3.56,0.89,,,
OCMI2,3,8.96,2.42,0.89,,,
RALA3,1,5.37,1.47,0.89,,,
PLPO2,1,8.80,4.60,0.88,,,
PEOB1,5,7.60,3.75,0.88,,,
MYUM1,3,10.56,3.20,0.88,,,
MAGU1,5,6.53,2.40,0.88,,,
LEEL1,2,5.74,2.62,0.88,,,
LEEL1,4,5.27,2.40,0.88,,,
MYMU1,3,4.15,1.67,0.88,,,
BYIN2,1,7.48,2.50,0.88,,,
BALO3,3,6.18,5.32,0.88,,,
MABR2,5,4.93,2.00,0.87,,,
TACA3,1,7.57,0.93,0.87,,,
PEOB2,3,9.43,4.09,0.87,,,
COLA1,2,4.39,2.80,0.87,,,
MAGU2,4,5.26,2.63,0.87,,,
LAHA1,4,7.04,2.46,0.87,,,
MAGU3,1,5.23,2.77,0.87,,,
XYAR1,5,8.39,2.38,0.87,,,
MYMU2,5,6.56,3.36,0.87,,,
BYIN1,1,8.37,3.92,0.87,,,
GUNI2,5,7.57,1.79,0.87,,,
STFE1,3,7.87,2.33,0.87,,,
CHLA2,4,8.47,1.58,0.87,,,
OCCO1,2,7.43,2.62,0.86,,,
MAEL2,4,8.10,1.05,0.86,,,
MYUM1,5,8.35,2.26,0.86,,,
MYTO3,5,7.57,3.58,0.86,,,
CAGU2,5,9.72,3.87,0.86,,,
DARA1,4,8.47,1.73,0.86,,,
CAAD1,5,7.16,1.08,0.85,,,
SYPU1,3,9.81,3.82,0.85,,,
MAGU2,3,4.84,1.80,0.85,,,
SCVI2,2,11.42,2.47,0.85,,,
BALO2,1,7.82,5.96,0.85,,,
MIAL3,1,7.30,2.49,0.84,,,
SCVI3,1,11.70,0.97,0.84,,,
OUSP3,5,7.32,3.00,0.84,,,
RALA2,5,6.40,1.47,0.84,,,
OCMI2,2,9.37,2.91,0.84,,,
CAAD1,4,7.20,1.35,0.83,,,
CAAD2,1,8.93,3.88,0.83,,,
TACA2,5,8.55,0.98,0.83,,,
QUMU2,4,7.01,2.90,0.83,,,
CASYs2,3,4.43,1.06,0.83,,,
COLA3,3,6.85,3.40,0.83,,,
ANCR1,4,8.03,4.20,0.83,,,
BYIN3,3,7.73,2.42,0.83,,,
STFE3,4,7.29,2.87,0.83,,,
MAEL1,1,9.71,0.99,0.82,,,
PLEL1,2,5.28,1.91,0.82,,,
SYPU1,5,9.13,3.25,0.82,,,
HEAP1,3,6.05,1.89,0.82,,,
BYIN3,5,10.99,5.24,0.82,,,
MYFE2,4,9.00,2.26,0.82,,,
MITO1,4,6.91,2.68,0.81,,,
DUFU1,1,10.96,4.26,0.81,,,
PLPO3,3,8.64,4.39,0.81,,,
MAGU2,2,4.53,2.76,0.81,,,
MYGU3,4,5.65,2.73,0.81,,,
LEEL1,1,5.67,2.26,0.81,,,
ERTO3,3,9.04,3.25,0.81,,,
PLEL1,4,4.78,1.92,0.80,,,
MYTO3,4,8.71,3.58,0.80,,,
LEEL1,5,5.67,2.14,0.80,,,
MISE2,3,7.52,3.55,0.80,,,
CASYf1,1,9.25,1.78,0.79,,,
MITO1,5,7.51,1.93,0.79,,,
MAEL2,3,6.32,1.13,0.79,,,
MYGU3,2,5.82,2.85,0.79,,,
OCMI1,2,9.16,2.17,0.79,,,
RALA3,3,8.41,1.43,0.79,,,
MAGL3,2,5.74,0.95,0.78,,,
XYAR2,4,12.76,3.20,0.78,,,
MILI3,3,4.38,1.61,0.78,,,
DAFA3,2,10.84,1.39,0.78,,,
DARA3,1,7.04,1.47,0.78,,,
HEAP1,4,7.08,1.68,0.77,,,
JACA1,1,2.80,1.22,0.77,,,
MISE2,5,10.49,3.05,0.77,,,
MYMU3,5,4.47,1.73,0.77,,,
STFE3,1,7.67,3.16,0.77,,,
TACA1,4,8.57,0.97,0.76,,,
JACA3,4,2.25,0.27,0.76,,,
MAGL3,5,6.33,0.97,0.76,,,
MAGU3,2,7.94,2.80,0.76,,,
BYIN3,4,7.76,3.13,0.76,,,
OCPU3,2,5.65,2.27,0.76,,,
TACA2,3,8.96,1.24,0.75,,,
SIGU6,5,10.80,4.42,0.75,,,
MILI3,2,5.24,2.38,0.75,,,
STPO1,4,8.27,3.41,0.75,,,
XYAR1,4,10.39,2.78,0.75,,,
MAEL1,4,6.57,0.92,0.74,,,
MAAC3,5,6.92,1.55,0.74,,,
MIAL1,5,11.63,4.90,0.74,,,
PEOB1,2,7.99,4.34,0.74,,,
MYFE3,5,7.77,2.11,0.74,,,
CASYf3,2,7.97,2.05,0.73,,,
MILI3,1,7.27,2.38,0.73,,,
STFE2,2,7.00,3.69,0.73,,,
STFE2,5,5.69,2.43,0.73,,,
OCMI3,3,11.33,3.12,0.73,,,
SYPU1,4,8.40,2.77,0.72,,,
CASYf3,1,7.61,1.85,0.72,,,
MABR3,3,7.56,2.65,0.72,,,
MAEL2,1,7.11,1.30,0.72,,,
MAGU1,2,5.28,2.55,0.72,,,
MAGL3,4,5.52,1.06,0.72,,,
MYMU3,2,5.36,2.16,0.72,,,
MAAC3,1,7.81,2.51,0.70,,,
PLPO2,4,7.63,3.98,0.70,,,
COLA2,4,5.11,2.69,0.70,,,
CAGU3,2,7.70,2.98,0.70,,,
MYMU2,3,6.01,2.25,0.70,,,
OCPU2,3,4.45,2.00,0.70,,,
MISE2,2,7.65,2.61,0.70,,,
DAFA2,4,10.67,1.62,0.70,,,
MYFE2,3,7.64,1.98,0.70,,,
MYGU1,5,8.05,5.19,0.69,,,
PLPO3,2,7.02,3.69,0.69,,,
STFE3,2,5.97,3.38,0.69,,,
LEEL2,5,7.40,3.00,0.68,,,
LEEL3,5,4.43,2.27,0.68,,,
DAFA2,5,12.55,2.13,0.68,,,
CHLA2,5,8.33,1.11,0.68,,,
MYFE3,4,7.89,2.09,0.68,,,
TACA2,2,8.27,1.27,0.67,,,
DUFU2,1,9.31,2.49,0.67,,,
PLEL3,5,4.92,1.38,0.67,,,
COLA2,3,4.80,2.99,0.67,,,
OCPU1,3,7.94,4.00,0.67,,,
DARA1,1,6.51,1.45,0.67,,,
MYFE2,2,9.65,2.26,0.67,,,
OCCO2,5,6.26,1.34,0.66,,,
MILI3,5,6.79,2.89,0.66,,,
CASYs3,2,5.27,1.78,0.66,,,
BALO2,3,6.59,2.96,0.66,,,
CHLA3,3,7.50,1.01,0.66,,,
MYLI1,5,12.68,3.96,0.65,,,
MABR3,4,5.43,2.97,0.65,,,
COLA2,5,5.01,3.09,0.65,,,
SYRE1,2,9.05,2.91,0.65,,,
OCPU3,1,5.16,2.55,0.65,,,
DARA3,2,6.35,1.18,0.65,,,
MAEL1,5,5.99,1.02,0.64,,,
SCVI2,5,13.60,3.43,0.64,,,
MYGU3,3,5.59,2.95,0.64,,,
MAGU3,3,4.54,2.65,0.64,,,
MYMU1,1,4.93,1.83,0.64,,,
XYAR1,3,9.01,3.11,0.64,,,
MILI3,1,4.33,1.73,0.64,,,
CHLA2,3,8.06,1.19,0.64,,,
MILI1,5,6.24,3.03,0.63,,,
TACA2,1,8.91,2.30,0.63,,,
ERDE1,3,10.49,2.94,0.63,,,
MYFA3,4,4.81,1.23,0.63,,,
CASYs1,2,8.39,1.89,0.63,,,
COLA2,2,4.37,2.60,0.63,,,
MYMU2,1,4.67,1.95,0.63,,,
RALA2,1,7.96,2.09,0.63,,,
RALA2,3,7.96,1.60,0.63,,,
BALO1,1,6.50,7.15,0.63,,,
DAFA3,4,8.24,1.75,0.63,,,
MYFA3,1,5.12,1.06,0.62,,,
COLA2,1,4.67,2.54,0.62,,,
MYMU1,4,3.87,1.51,0.61,,,
MABR1,4,4.03,1.33,0.60,,,
MYFA3,5,5.17,1.37,0.60,,,
BYIN1,5,7.47,2.39,0.60,,,
RALA2,4,5.49,1.64,0.60,,,
CHLA2,2,6.87,1.47,0.60,,,
MYUM1,4,9.12,2.46,0.59,,,
MILI3,4,4.77,1.49,0.59,,,
MYFE2,1,7.37,2.20,0.59,,,
PLEL3,4,3.07,1.54,0.58,,,
MYGU3,1,7.95,3.49,0.58,,,
SYRE1,4,9.74,2.91,0.58,,,
MYFE1,5,10.40,2.14,0.58,,,
COLA3,2,5.26,2.89,0.57,,,
MABR2,4,4.89,1.93,0.57,,,
PEOB3,5,6.58,2.80,0.57,,,
STFE3,3,6.92,2.86,0.57,,,
ERDE2,4,5.70,2.34,0.56,,,
GUNI2,3,7.78,2.57,0.56,,,
MYMU3,4,5.44,2.32,0.56,,,
SYPU1,2,9.31,2.98,0.55,,,
MABR3,1,4.78,2.75,0.55,,,
BYIN2,4,7.06,2.56,0.55,,,
BYIN2,5,5.59,2.50,0.55,,,
OCMI3,4,10.39,2.73,0.55,,,
MILI1,2,6.75,3.03,0.54,,,
MABR2,3,6.25,2.05,0.54,,,
ERDE2,5,5.94,2.43,0.54,,,
SCVI2,1,11.92,3.07,0.54,,,
MILI3,2,5.03,2.01,0.54,,,
MAAC1,5,6.51,1.72,0.53,,,
MYMU3,1,5.83,2.47,0.53,,,
OCMI2,4,13.67,2.82,0.53,,,
DARA2,3,4.33,1.04,0.53,,,
MABR1,2,4.74,1.52,0.52,,,
VOTU1,1,9.50,2.40,0.52,,,
PEOB1,4,6.45,2.78,0.52,,,
JACA3,1,2.72,0.38,0.52,,,
MYMU2,2,4.88,2.22,0.52,,,
STPO3,1,9.32,3.59,0.52,,,
RALA3,2,7.81,1.39,0.52,,,
OCCO2,4,8.13,1.36,0.51,,,
TACA3,5,7.92,1.35,0.51,,,
ERDE3,5,7.43,3.22,0.51,,,
MYFA3,3,3.39,1.18,0.51,,,
COLA3,5,4.35,2.42,0.51,,,
MYFA3,2,5.58,1.82,0.50,,,
PEOB3,4,6.69,2.93,0.50,,,
COLA1,1,4.75,2.20,0.50,,,
