IndCode,LeafNum,L,W,H,Comments,,
TAAU3,2,17.50,8.40,4.29,,,
PORA3,3,16.00,4.72,4.29,,,
PIAX2,3,15.00,9.60,4.28,,,
ROMO1,4,15.10,5.40,4.27,,,
STPO2,4,9.55,5.90,4.27,,,
ASTO2,1,13.20,4.45,4.25,,,
AESE1,1,24.00,6.80,4.24,,,
CRFL3,2,13.10,5.73,4.24,,,
MYLI1,4,10.25,5.50,4.23,,,
QUGR2,4,17.50,5.88,4.21,,,
DIBU3,5,16.10,3.81,4.13,,,
CUVE1,1,13.71,2.61,4.12,,,
DIBU3,3,16.90,8.50,4.10,,,
CUVE1,2,8.62,2.53,4.10,,,
CABR2,5,9.15,5.55,4.10,,,
ZEMO3,5,13.77,2.91,4.10,,,
AESE3,3,30.20,10.60,4.02,,,
TOFO1,5,11.80,1.21,4.01,,,
AESE2,1,26.50,7.30,4.00,,,
ZETU2,3,24.00,11.40,4.00,,,
ZETU2,5,26.00,12.00,4.00,,,
TOFO3,2,11.59,4.30,3.97,,,
TAGU2,2,14.36,3.76,3.95,,,
DIBU3,4,14.10,6.59,3.91,,,
TAAU3,4,13.40,7.30,3.91,,,
PIRO2,2,16.50,5.28,3.90,,,
ERTO1,4,11.60,2.23,3.89,,,
ROMO3,1,11.10,3.09,3.89,,,
TAAU3,4,15.70,5.87,3.89,,,
AESE1,2,36.60,10.40,3.87,,,
LUGR2,2,18.80,13.80,3.85,,,
DUFU1,3,10.63,2.82,3.83,,,
ROMO3,2,12.26,5.12,3.83,,,
TAAU3,1,9.47,2.85,3.83,,,
FAMO1,5,14.00,5.19,3.82,,,
ANCA3,4,16.90,3.90,3.82,,,
CABR2,2,9.45,5.28,3.81,,,
LUCA3,4,11.11,5.34,3.79,,,
AESE1,5,35.50,12.00,3.77,,,
FAMO2,1,13.07,3.95,3.77,,,
TOFO1,2,10.50,3.37,3.75,,,
ERGR1,3,10.33,5.20,3.74,,,
DUFU3,4,12.75,3.99,3.73,,,
TAGU3,1,8.98,3.86,3.73,,,
ROMO2,2,11.38,5.67,3.73,,,
ERSU2,3,9.81,5.22,3.72,,,
CUVE2,1,13.00,4.13,3.72,,,
ZETU3,2,23.10,6.89,3.72,,,
LUGR2,3,13.19,11.45,3.72,,,
TAAU1,1,18.30,7.49,3.71,,,
AESE2,3,27.00,7.84,3.71,,,
ZEMO2,4,9.36,4.47,3.69,,,
ROMO2,1,18.90,4.51,3.68,,,
POTO2,3,17.90,7.65,3.67,,,
MYUM3,2,14.50,5.20,3.66,,,
ANCA3,1,14.32,3.34,3.65,,,
TAAU2,2,12.00,2.79,3.64,,,
ERTO1,2,11.00,2.45,3.63,,,
TAGU1,4,7.02,2.01,3.63,,,
PIAX3,2,18.20,7.40,3.61,,,
ALED3,2,15.00,8.00,3.61,,,
ZEMO3,3,13.62,2.89,3.61,,,
ERTO1,3,13.60,4.40,3.60,,,
ASTO1,1,13.96,5.56,3.60,,,
ANCR1,5,9.66,5.72,3.58,,,
GUVI1,5,10.74,4.11,3.58,,,
ERTO2,2,10.10,3.31,3.57,,,
GUVI2,1,12.16,7.13,3.57,,,
AMIN3,1,10.14,5.28,3.52,,,
ERGR1,2,9.63,4.62,3.51,,,
DIBU2,4,11.09,5.03,3.50,,,
SCVI1,3,10.66,2.50,3.50,,,
GUVI3,3,14.00,5.22,3.50,,,
ASTO3,2,17.00,5.80,3.48,,,
POTO3,2,13.63,7.33,3.48,,,
PORA3,2,16.40,6.35,3.48,,,
QUGR1,5,13.80,6.40,3.47,,,
AMIN1,5,15.80,4.53,3.45,,,
DIBU1,5,20.50,8.24,3.45,,,
KICO3,1,12.09,2.34,3.45,,,
BARU2,4,10.20,7.49,3.45,,,
DIBU3,2,12.87,7.14,3.41,,,
SIGU1,2,15.10,4.90,3.41,,,
BALO3,5,8.68,4.68,3.41,,,
AESE2,5,21.80,4.93,3.40,,,
CUVE2,4,15.50,4.16,3.40,,,
ALED3,3,13.50,7.70,3.39,,,
GUVI3,1,16.00,6.57,3.39,,,
CABR1,4,12.84,5.39,3.38,,,
CABR2,1,10.60,8.58,3.38,,,
POTO2,2,18.50,8.30,3.37,,,
AESE2,2,27.50,10.14,3.37,,,
MYLI3,4,12.02,1.51,3.36,,,
QUGR1,3,13.00,4.80,3.35,,,
CUVE1,5,8.01,2.29,3.34,,,
ERGR1,1,11.49,5.21,3.34,,,
QUGR2,5,16.70,5.32,3.32,,,
CRFL1,3,12.11,6.02,3.31,,,
AEVE2,1,14.27,4.46,3.31,,,
