"","Species","IndCode","IndLeafCode","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull"
"1","AESE","AESE1","AESE1-1",226.776447434397,98.963417595303,36.9098737003071,361457.788881254,213.424410304644,49.4703185562195,38.3059038610592,135998.29166547
"2","AESE","AESE1","AESE1-2",197.6126117148,91.0264313588636,36.8639848415173,204399.093519961,177.532041678646,37.0719830553686,28.1436950329715,81426.8042273855
"3","AESE","AESE2","AESE2-1",190.553867315716,73.7214803206862,25.6084107697069,121457.537911416,168.280460131541,42.4597731628565,27.1204082874094,68328.9632839342
"4","AESE","AESE2","AESE2-2",214.878594063113,73.3840869708486,38.6834031621794,228223.974100216,189.113558625178,39.6825254418966,30.4026469567078,75949.9179438937
"5","AESE","AESE3","AESE3-1",217.040591756349,101.927117142757,33.1061895444488,302248.996753676,169.40506902012,47.7296652393261,55.9944030456314,162595.228473109
"6","AESE","AESE3","AESE3-2",213.734201922446,96.7307397220906,39.5330049177956,264479.140322406,190.020602057716,59.0671735364078,46.5911225742243,176430.61612761
"7","AEVE","AEVE1","AEVE1-1",163.170995469051,55.7780298354929,41.8939564414174,146960.994413671,149.285811555357,35.8070773798209,32.1708784108454,60689.9411452216
"8","AEVE","AEVE1","AEVE1-2",100.243564222999,48.9267502986917,29.922076870327,48407.6139899749,84.4376511959825,33.3258847678151,22.4657460335395,19933.8274810887
"9","AEVE","AEVE2","AEVE2-1",115.615227458276,61.4155819866005,43.7919664558463,98868.7905518251,129.736263449297,46.0137774860294,27.2233561783315,56379.6460946649
"10","AEVE","AEVE2","AEVE2-2",124.649709108571,70.1413915248162,30.9900995862914,110824.412123217,129.270381802223,55.3614076270602,39.9092373409821,77064.4624029094
"11","AEVE","AEVE3","AEVE3-1",129.461172792474,53.6080607765145,35.2287329663967,88012.0613499289,131.322935109422,42.7206408572254,34.571663228645,68145.2228816626
"12","AEVE","AEVE3","AEVE3-2",147.201363037325,81.8540291544788,30.9939769676231,149789.88630722,132.140172116942,35.1211601534619,28.1050675614698,54433.0055693793
"13","ALED","ALED1","ALED1-1",118.157172312367,59.1015519598124,23.1416204461579,42994.0769595239,111.347824671156,60.5440805029478,17.3189159858305,37192.3076163014
"14","ALED","ALED1","ALED1-2",127.932079513521,61.9365062321001,20.0230767623286,45609.4445322865,123.047363903589,61.6618531238793,16.3771646783229,46043.2016271725
"15","ALED","ALED2","ALED2-1",126.534018082394,41.5604907299112,15.2699293139507,29998.9544571949,102.370634617406,49.4940047819428,47.8356754246064,63926.0598170881
"16","ALED","ALED2","ALED2-2",136.048855135383,58.1494232058715,32.4826724544719,78562.1421722536,139.015553539415,53.5061579776675,21.0925002338652,54641.1098500544
"17","ALED","ALED3","ALED3-1",129.348128027535,73.8604252388335,38.459484717408,140703.175024285,127.846549641722,64.1995140158759,45.2458465852331,122117.532020687
"18","ALED","ALED3","ALED3-2",136.829426415466,68.284300934724,42.1817816547787,130685.728134495,132.530908371973,73.9465463639721,30.3257221922332,108370.108434602
"19","AMIN","AMIN1","AMIN1-1",108.435137095738,41.9923840412028,23.3577766233065,32637.4196688729,105.20831771063,29.415036177564,19.8047343471622,28287.9278438937
"20","AMIN","AMIN1","AMIN1-2",113.913546516057,42.8463415585083,16.8457675098115,28716.8975248491,99.9547403550801,24.1497428434098,24.6209216585817,24086.1497927799
"21","AMIN","AMIN2","AMIN2-2",102.394199838142,22.9071091568954,19.8006725533794,18836.8781634733,122.140882102135,44.0585266702265,15.9158242070248,36427.1529918342
"22","AMIN","AMIN3","AMIN3-1",120.956622218816,41.8955579747859,23.3835167737109,36571.5251875638,97.4298370023805,36.8086364318971,33.2376438125539,36993.2463095135
"23","AMIN","AMIN3","AMIN3-2",88.1071746677174,31.3584785804312,12.8720839665047,12442.566029463,78.8060306834581,21.7707701858768,14.7600692710901,12272.5350518044
"24","ANCA","ANCA1","ANCA1-1",134.775136850916,50.1954555715651,18.0007570306071,53986.4765061258,126.242946477246,37.3169309611971,14.6700822592695,26399.4056999284
"25","ANCA","ANCA1","ANCA1-2",125.123802428339,46.4649014612221,10.0197508262695,22243.6772084183,125.870675823553,42.2465364140477,22.3434138788376,40563.976098032
"26","ANCA","ANCA2","ANCA2-1",172.320983790601,44.9624273788716,19.0995527746906,59310.011783758,165.696906616292,38.169393641009,21.6293544937274,54110.422462351
"27","ANCA","ANCA2","ANCA2-2",124.288941512172,34.4346919313945,13.3377483267812,23748.2774160852,108.20073857136,32.8217332658935,21.9929305153761,24405.7585184647
"28","ANCA","ANCA3","ANCA3-1",135.118918555821,49.0418572883496,11.1024029790953,28854.5356790884,107.334826903737,39.7751845022914,22.7689757352281,32988.6695182569
"29","ANCA","ANCA3","ANCA3-2",112.544749482295,43.1966225325439,15.6302301610205,28105.3417382196,113.687672745979,37.1861919368974,17.1693798056391,22976.4442935618
"30","ANCA","ANCA3","ANCA3-3",NA,NA,NA,NA,105.586689194244,42.8227771309293,17.3206792052269,28783.2731600232
"31","ANCA","ANCA3","ANCA3-4",128.076965143757,46.4870109781066,13.7358591422904,31074.543678056,123.714018336094,42.649343105935,18.4396385794918,35260.5249057719
"32","ANCR","ANCR1","ANCR1-1",98.5305041527606,48.8725055087028,25.7590256005263,39933.5924629091,94.3346176431314,50.7169754263607,15.8243282697004,30630.1026440358
"33","ANCR","ANCR1","ANCR1-2",96.3331809507236,39.7726662915346,25.4749994550678,40371.3803620924,90.8291396438918,41.9925312068181,20.9670061678376,32349.6872327605
"34","ANCR","ANCR2","ANCR2-1",82.0107818066021,39.1782896994545,14.5963608096613,15913.700907056,77.812863002044,39.5785634657896,10.6573441444154,14291.2384552919
"35","ANCR","ANCR2","ANCR2-2",79.623040631216,25.2200199508858,25.1850826575775,19307.9544628164,78.3586561739771,26.121927810474,17.146164969283,13273.9324988604
"36","ANCR","ANCR3","ANCR3-1",100.097056416304,62.3407238649433,31.8497221555481,73791.6086491402,94.9723311841869,68.6749366431635,16.4298146303695,43893.5629073615
"37","ANFA","ANFA1","ANFA1-1",6.82004033185263,1.9075153734691,1.02879559442776,7.23623370795058,4.27394295727149,1.77892855843011,1.3085827000502,3.87933296135735
"38","ANFA","ANFA2","ANFA2-1",2.98772473974249,1.11002559874875,0.437568328863197,0.718726519935501,1.459894517229,0.382911154492178,5.54571863139314e-05,6.97764846485949e-06
"39","ANFA","ANFA2","ANFA2-2",1.99818928608816,0.741454237933696,0.262977366835598,0.107758710635564,2.32652021645415,1.50748303003164,0.995343862060192,0.945400585938812
"40","ANFA","ANFA3","ANFA3-1",3.0864481335558,1.60598150899045,0.715226010760843,1.15254577532029,1.63059686321137,0.806072490952821,0.324527257489905,0.123141537873952
"41","ANFA","ANFA3","ANFA3-2",1.39794911185223,0.343180316557133,3.89171486642678e-05,3.57194697996516e-06,0.978091471897461,0.712566626020295,0.0654451709841788,0.00834597209062863
"42","ASTO","ASTO1","ASTO1-1",147.656460703882,53.4591486557836,36.2710693056612,108313.130370855,135.788101534895,59.6465547758612,20.9975282004317,73592.1308521519
"43","ASTO","ASTO1","ASTO1-2",153.0919127476,64.3541712955731,43.8654967952242,169651.731297679,149.126214791335,73.2215522536358,35.9130911238324,131504.779575497
"44","ASTO","ASTO2","ASTO2-1",159.866076347026,76.3646839444274,14.3292337321134,73120.626662019,133.837535245542,60.7460668257115,37.7630210796894,111461.949822418
"45","ASTO","ASTO2","ASTO2-2",134.832664143582,50.9103868896495,19.938535155435,54960.1505755961,119.684006773744,46.2941264279881,24.1830533497094,42474.8973297167
"46","ASTO","ASTO3","ASTO3-1",171.378546815864,88.4005289105154,39.8216834992351,220709.507883087,164.858330424366,90.0082957473966,39.677648219217,186144.642307117
"47","ASTO","ASTO3","ASTO3-2",124.119766687487,59.0711988349125,25.6958057678,57728.7560607209,106.466552995953,51.4473497325443,19.2264068710469,36320.7878347642
"48","BADR","BADR1","BADR1-1",20.7817374743934,6.86192849245651,3.11481284264919,187.110343576921,20.8440458711667,7.59279314643286,3.00972757127577,241.875828567979
"49","BADR","BADR1","BADR1-2",23.43198904001,7.00222386664231,2.90194702606202,211.630845622273,21.9328067878267,6.13970781098317,5.55559011381964,309.900280858484
"50","BADR","BADR2","BADR2-1",27.4745650085745,5.49420783596526,3.49020716700198,230.468830494214,18.392832109469,4.38412144634562,3.45985712381854,128.95100436958
"51","BADR","BADR2","BADR2-2",26.7476471756661,5.16947899304599,2.74391471667489,172.42840942291,21.4487719741521,5.28479867506008,2.84713292989284,147.62423620861
"52","BADR","BADR3","BADR3-1",21.549096749221,5.81012580968201,2.14658328156031,90.9291248276391,28.322665863973,4.68704049194253,1.851975045241,98.056957901538
"53","BADR","BADR3","BADR3-2",28.9602082792299,6.40759718351405,3.1692845135598,271.393495592457,24.8473526306079,5.0596112633537,2.45377097725482,99.6569193880171
"54","BALO","BALO1","BALO1-1",97.3407740820929,85.5117151455335,14.5371201225744,47641.8054875447,78.4483208030445,58.9034825804127,37.5147745930635,64242.4806445969
"55","BALO","BALO1","BALO1-2",66.3312143356591,85.2521312769573,9.11498281845295,20697.9648860699,63.7821705402069,45.1323344713553,34.6055136851034,36192.5697161143
"56","BALO","BALO2","BALO2-1",64.0037123983866,64.0217604331899,9.26192098564224,16929.9176439131,64.8714978830617,51.4476323328464,22.5319653221125,26616.967678121
"57","BALO","BALO2","BALO2-2",68.7843181259687,75.5557519631374,14.5766277506108,29349.002095716,66.3808832470181,65.3740670458717,22.6276244256883,34547.8457806906
"58","BALO","BALO3","BALO3-1",94.8173999361757,77.9764472402176,27.2470750707174,75588.7433827583,82.5420844189771,71.3694633128647,30.0040809791302,64028.8167250967
"59","BALO","BALO3","BALO3-2",63.0359781178365,46.0846758197697,9.8274700599053,10766.1095461634,51.3480684289386,49.0640321340776,16.4635497871796,19292.6922039829
"60","BARU","BARU1","BARU1-1",131.717380093171,113.172007068028,24.3751617134756,142864.38781094,129.167968284642,119.947330987717,29.4427062054665,181269.187823596
"61","BARU","BARU1","BARU1-2",106.678871363705,80.8385141884765,26.2049465813567,89197.057854476,105.975043026633,99.8300880100856,29.5138803383068,115885.475931071
"62","BARU","BARU2","BARU2-1",119.312895251361,91.4442652543233,19.6448460464111,87029.675399471,112.177592951959,86.7674793690586,12.994292796773,59699.0786180487
"63","BARU","BARU2","BARU2-2",119.81342728971,82.07052176701,27.401014766079,111175.886947065,117.758619577689,78.4738910118224,21.8340717164929,83648.5209950033
"64","BARU","BARU3","BARU3-1",97.1497174961411,95.1293782800197,25.3865581649931,97986.4895401485,94.3693542820316,99.3730125634968,19.827519143965,76853.713689097
"65","BARU","BARU3","BARU3-2",91.5291919890602,87.9330800366934,24.6272801794177,76593.1581549444,80.7341578223267,73.1633671768076,34.8404265576348,78317.0471723427
"66","BYIN","BYIN1","BYIN1-1",58.9151836898954,26.0421406913698,6.48261035390901,3923.77380452279,57.2877042706274,26.9899353480475,8.35670589740695,5144.81862032389
